Detroit,Memphis,time_rem
8-21,13-12,48M 0S
2,0,47M 38S
2,3,47M 2S
2,5,46M 3S
5,5,45M 41S
5,7,45M 28S
5,9,44M 47S
5,11,44M 6S
7,11,43M 53S
7,13,43M 22S
7,15,42M 53S
9,15,42M 32S
9,17,42M 17S
9,19,41M 53S
9,21,40M 29S
9,23,39M 45S
12,23,39M 23S
12,25,39M 7S
12,26,39M 7S
12,29,38M 44S
12,30,38M 19S
12,31,38M 19S
14,31,37M 37S
14,33,37M 28S
17,33,36M 40S
17,35,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
17,37,35M 12S
17,38,35M 12S
19,38,34M 59S
19,40,33M 43S
22,40,33M 31S
24,40,33M 12S
24,42,32M 56S
26,42,32M 32S
26,44,32M 13S
28,44,31M 45S
30,44,31M 28S
Jump ball: M. Plumlee vs. D. Bane (S. Bey gains possession),NA,31M 8S
33,44,30M 14S
Jump ball: D. Bane vs. D. Wright (B. Clarke gains possession),NA,29M 48S
36,44,29M 31S
36,46,29M 19S
38,46,28M 51S
38,49,28M 37S
38,51,27M 53S
38,53,26M 34S
40,53,24M 32S
41,53,24M 2S
42,53,24M 2S
43,53,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
43,55,23M 31S
46,55,23M 15S
49,55,22M 47S
49,58,22M 26S
52,58,22M 14S
55,58,21M 51S
57,58,21M 23S
57,60,20M 41S
57,62,20M 8S
57,65,19M 43S
60,65,19M 15S
60,67,18M 59S
60,69,18M 33S
60,70,17M 20S
62,70,17M 7S
62,71,16M 54S
62,72,16M 54S
64,72,16M 39S
64,74,16M 25S
65,74,16M 18S
66,74,16M 18S
66,76,15M 59S
66,78,15M 16S
68,78,14M 53S
68,80,14M 38S
68,82,13M 23S
70,82,13M 1S
70,84,12M 31S
73,84,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,84,11M 39S
75,86,11M 15S
77,86,10M 32S
77,87,10M 22S
77,88,10M 22S
79,88,10M 4S
82,88,9M 3S
85,88,8M 23S
85,90,7M 5S
87,90,6M 55S
89,90,6M 27S
89,92,5M 47S
89,93,5M 47S
89,95,5M 0S
90,95,4M 45S
90,97,3M 58S
90,98,3M 32S
90,99,3M 32S
90,100,3M 17S
90,101,3M 17S
90,103,2M 50S
90,104,2M 9S
90,105,2M 9S
91,105,2M 3S
92,105,2M 3S
93,105,2M 3S
93,106,1M 50S
93,107,1M 50S
93,108,39S
93,109,39S
95,109,29S
End of 4th quarter,NA,0S
