Denver,Boston,time_rem
15-12,14-13,48M 0S
0,0,47M 43S
1,0,47M 42S
2,0,47M 42S
2,2,47M 24S
4,2,47M 2S
7,2,46M 24S
7,4,44M 22S
7,5,44M 22S
9,5,44M 5S
11,5,42M 30S
11,6,41M 54S
11,7,41M 54S
13,7,41M 40S
13,9,41M 26S
13,12,41M 1S
13,14,40M 36S
13,15,40M 24S
16,15,39M 41S
16,17,39M 25S
16,20,38M 42S
16,21,38M 31S
18,21,38M 20S
18,23,38M 2S
20,23,37M 48S
22,23,37M 23S
22,25,36M 57S
23,25,36M 42S
26,25,36M 33S
26,28,36M 20S
26,29,36M 1S
26,30,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,33,35M 42S
26,35,35M 20S
28,35,34M 1S
28,38,33M 40S
30,38,33M 29S
30,40,33M 4S
30,41,32M 49S
30,42,32M 49S
33,42,31M 58S
33,44,31M 19S
33,46,30M 17S
33,48,29M 48S
36,48,29M 38S
38,48,29M 10S
38,51,28M 53S
39,51,28M 28S
40,51,28M 28S
41,51,27M 48S
42,51,27M 48S
42,54,27M 35S
44,54,27M 16S
46,54,26M 31S
49,54,26M 15S
52,54,25M 22S
52,57,24M 58S
54,57,24M 44S
54,59,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,62,23M 45S
56,62,23M 26S
58,62,23M 4S
58,65,21M 50S
60,65,21M 23S
60,67,20M 59S
62,67,20M 20S
65,67,20M 0S
65,69,19M 39S
67,69,19M 15S
67,71,18M 30S
69,71,17M 4S
71,71,16M 9S
71,74,15M 56S
73,74,15M 39S
73,77,15M 21S
73,80,14M 48S
74,80,13M 52S
75,80,13M 52S
75,82,13M 37S
75,84,12M 44S
75,86,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,86,11M 51S
79,86,10M 54S
79,88,10M 30S
79,90,9M 53S
79,91,9M 53S
80,91,9M 39S
81,91,9M 39S
81,93,9M 14S
84,93,8M 32S
84,96,7M 18S
86,96,6M 12S
86,97,5M 13S
86,98,5M 13S
88,98,4M 51S
88,101,4M 35S
90,101,3M 52S
90,102,3M 34S
90,103,3M 34S
92,103,3M 27S
92,104,3M 14S
92,105,2M 35S
92,106,2M 35S
93,106,2M 28S
94,106,2M 28S
96,106,2M 1S
96,108,1M 42S
96,110,1M 17S
98,110,1M 6S
99,110,52S
99,111,40S
99,112,40S
End of 4th quarter,NA,0S
