San Antonio,LA Lakers,time_rem
4-4,6-3,48M 0S
0,0,47M 42S
2,0,45M 51S
5,0,45M 20S
7,0,44M 47S
9,0,44M 21S
9,2,43M 59S
12,2,43M 50S
12,4,43M 32S
14,4,43M 20S
15,4,43M 4S
15,6,42M 50S
15,8,42M 16S
17,8,42M 0S
17,10,41M 40S
20,10,41M 29S
23,10,40M 49S
23,12,40M 8S
25,12,39M 23S
25,14,38M 51S
28,14,38M 32S
29,14,38M 32S
29,17,38M 4S
31,17,37M 43S
31,20,37M 11S
31,23,36M 33S
34,23,36M 13S
34,26,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,29,35M 35S
36,29,35M 8S
39,29,34M 45S
39,31,34M 1S
42,31,33M 37S
42,33,33M 20S
42,35,32M 53S
44,35,32M 10S
46,35,30M 28S
46,36,30M 16S
49,36,30M 1S
49,38,29M 40S
49,40,29M 12S
51,40,28M 55S
53,40,28M 37S
53,42,28M 24S
53,44,27M 50S
53,45,27M 50S
54,45,27M 39S
55,45,27M 39S
55,47,27M 26S
58,47,27M 6S
58,49,26M 52S
58,50,26M 0S
58,51,26M 0S
60,51,25M 16S
60,53,25M 5S
63,53,24M 49S
63,56,24M 35S
65,56,24M 26S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,58,23M 30S
68,58,23M 14S
70,58,22M 40S
70,60,22M 23S
70,61,21M 54S
70,62,21M 54S
72,62,21M 41S
73,62,21M 41S
73,63,21M 21S
73,64,21M 21S
74,64,21M 9S
75,64,20M 43S
76,64,20M 43S
76,67,20M 25S
78,67,19M 39S
78,69,19M 29S
80,69,19M 4S
80,71,18M 42S
82,71,18M 24S
82,74,18M 9S
84,74,17M 47S
84,77,17M 31S
84,79,17M 10S
87,79,16M 46S
87,81,16M 6S
87,83,15M 44S
87,85,15M 10S
89,85,14M 3S
89,87,13M 43S
89,89,13M 4S
91,89,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,89,10M 35S
94,89,10M 35S
94,90,10M 22S
94,91,10M 22S
96,91,9M 43S
96,93,9M 31S
99,93,9M 12S
100,93,8M 51S
101,93,8M 51S
102,93,8M 51S
102,95,8M 28S
105,95,8M 20S
105,97,7M 58S
108,97,7M 45S
108,98,7M 7S
108,100,6M 5S
109,100,4M 43S
110,100,4M 43S
112,100,4M 10S
114,100,3M 38S
114,102,3M 29S
114,104,2M 52S
115,104,2M 1S
116,104,2M 1S
118,104,1M 0S
118,105,57S
118,106,57S
118,109,33S
End of 4th quarter,NA,0S
