Orlando,Boston,time_rem
14-28,21-21,48M 0S
0,0,47M 44S
2,0,47M 29S
2,2,47M 9S
5,2,46M 49S
5,5,45M 31S
7,5,45M 15S
7,8,44M 57S
7,11,44M 26S
10,11,44M 1S
11,11,42M 48S
14,11,41M 43S
14,13,41M 22S
15,13,40M 22S
15,16,40M 3S
17,16,39M 42S
20,16,39M 13S
20,18,38M 59S
23,18,38M 32S
23,21,38M 19S
25,21,37M 59S
26,21,37M 59S
26,22,37M 53S
26,23,37M 53S
26,24,37M 53S
27,24,37M 31S
28,24,37M 31S
28,27,37M 14S
31,27,36M 56S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,28,35M 29S
31,29,35M 29S
32,29,34M 40S
33,29,34M 40S
33,31,33M 28S
35,31,33M 12S
35,33,32M 57S
37,33,32M 29S
37,35,32M 16S
38,35,31M 58S
38,37,31M 20S
40,37,30M 58S
40,40,30M 24S
42,40,30M 1S
42,43,29M 49S
42,46,28M 34S
Jump ball: J. Brown vs. C. Randle (M. Smart gains possession),NA,27M 6S
42,48,26M 22S
44,48,25M 28S
44,50,25M 17S
46,50,24M 57S
46,53,24M 40S
46,56,24M 8S
47,56,24M 3S
48,56,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,56,23M 45S
49,58,23M 28S
49,59,22M 12S
49,60,22M 12S
49,63,21M 34S
49,66,20M 59S
52,66,20M 46S
52,69,19M 54S
54,69,19M 34S
54,72,19M 18S
54,75,18M 54S
57,75,18M 43S
59,75,18M 10S
59,77,17M 49S
59,80,16M 44S
60,80,15M 49S
60,83,15M 30S
63,83,14M 46S
63,86,14M 28S
65,86,14M 16S
67,86,13M 54S
67,89,13M 36S
69,89,13M 11S
71,89,12M 39S
72,89,12M 39S
73,89,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,89,11M 32S
76,91,11M 10S
77,91,10M 51S
78,91,10M 51S
81,91,9M 57S
83,91,9M 27S
83,93,8M 50S
Jump ball: A. Gordon vs. D. Theis (E. Fournier gains possession),NA,8M 32S
83,94,8M 16S
83,95,8M 16S
85,95,7M 57S
85,98,7M 41S
85,100,6M 48S
87,100,6M 26S
87,103,6M 4S
88,103,5M 34S
89,103,5M 34S
89,105,5M 18S
91,105,5M 2S
91,108,4M 52S
93,108,2M 46S
94,108,2M 20S
94,110,1M 13S
94,112,42S
95,112,21S
96,112,21S
End of 4th quarter,NA,0S
