Charlotte,Oklahoma City,time_rem
26-24,20-31,48M 0S
0,0,47M 46S
3,0,47M 18S
Jump ball: P. Washington vs. M. Brown (P. Washington gains possession),NA,45M 4S
5,0,45M 1S
8,0,44M 23S
8,3,44M 12S
11,3,43M 35S
13,3,43M 2S
13,6,42M 56S
16,6,42M 24S
16,8,42M 8S
18,8,41M 48S
18,11,41M 39S
18,14,41M 10S
20,14,40M 38S
20,16,40M 22S
23,16,40M 10S
23,18,39M 48S
23,20,39M 30S
23,21,39M 30S
25,21,38M 41S
25,24,38M 27S
26,24,37M 49S
27,24,37M 49S
27,25,37M 36S
27,27,37M 22S
28,27,37M 12S
29,27,37M 12S
32,27,36M 48S
32,29,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,29,35M 7S
35,31,34M 23S
35,33,33M 31S
35,35,32M 49S
35,36,32M 49S
37,36,32M 25S
37,39,31M 48S
37,41,31M 21S
38,41,31M 6S
39,41,31M 6S
39,42,30M 30S
39,43,30M 30S
41,43,30M 12S
43,43,29M 52S
45,43,28M 40S
45,46,28M 27S
46,46,28M 10S
47,46,27M 3S
48,46,27M 3S
50,46,26M 37S
52,46,26M 2S
52,49,25M 47S
54,49,25M 24S
54,50,24M 36S
54,51,24M 36S
56,51,24M 23S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,54,23M 26S
56,56,22M 40S
59,56,22M 31S
59,58,22M 3S
62,58,21M 51S
62,60,21M 34S
65,60,21M 3S
65,61,20M 36S
Jump ball: M. Bridges vs. M. Brown (D. Graham gains possession),NA,20M 7S
67,61,18M 42S
67,64,18M 25S
69,64,17M 50S
71,64,17M 24S
71,67,17M 11S
74,67,16M 28S
74,70,15M 55S
76,70,15M 37S
76,73,15M 4S
78,73,14M 35S
78,75,14M 13S
79,75,13M 58S
80,75,13M 58S
80,77,13M 45S
82,77,13M 33S
85,77,12M 46S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,77,10M 58S
89,77,10M 20S
90,77,10M 20S
92,77,9M 51S
92,80,9M 40S
94,80,9M 11S
94,83,8M 58S
96,83,8M 40S
99,83,7M 52S
99,85,7M 40S
101,85,7M 25S
101,87,6M 38S
104,87,6M 12S
104,89,5M 47S
104,91,5M 18S
106,91,5M 2S
106,94,4M 38S
106,95,4M 14S
106,96,4M 14S
Jump ball: C. Zeller vs. K. Williams (J. McDaniels gains possession),NA,3M 55S
108,96,3M 55S
108,98,2M 53S
111,98,1M 56S
111,99,1M 49S
111,100,1M 49S
113,100,1M 35S
113,102,46S
End of 4th quarter,NA,0S
