Portland,Milwaukee,time_rem
10-9,12-8,48M 0S
0,0,47M 50S
0,3,47M 45S
2,3,47M 22S
2,4,47M 5S
5,4,46M 53S
5,6,46M 32S
8,6,46M 5S
11,6,45M 19S
11,8,44M 57S
13,8,44M 38S
13,11,44M 25S
13,13,43M 49S
16,13,43M 34S
16,16,43M 26S
18,16,42M 53S
21,16,42M 27S
21,19,42M 11S
21,21,41M 44S
23,21,41M 34S
23,24,41M 22S
23,26,40M 54S
25,26,40M 32S
25,29,40M 10S
28,29,39M 51S
28,31,39M 39S
30,31,39M 19S
30,34,39M 9S
30,37,38M 38S
30,39,37M 44S
31,39,37M 44S
31,40,36M 48S
32,40,36M 39S
33,40,36M 39S
33,42,36M 32S
36,42,36M 19S
36,44,36M 3S
36,46,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,49,35M 34S
38,49,34M 51S
40,49,34M 23S
40,51,32M 9S
41,51,31M 58S
42,51,31M 58S
42,52,31M 46S
44,52,31M 28S
44,54,31M 13S
45,54,30M 43S
46,54,30M 43S
46,56,30M 21S
46,57,29M 58S
46,58,29M 58S
46,61,29M 29S
49,61,29M 8S
49,64,28M 59S
49,67,28M 23S
51,67,27M 24S
52,67,27M 24S
52,69,27M 12S
52,71,27M 1S
54,71,26M 45S
54,74,26M 38S
54,76,25M 45S
56,76,25M 28S
56,79,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,79,23M 18S
60,79,22M 57S
60,81,22M 33S
63,81,22M 20S
63,83,21M 47S
63,85,21M 7S
63,87,20M 46S
65,87,20M 31S
65,89,20M 1S
65,91,19M 21S
65,93,18M 54S
67,93,18M 33S
67,96,18M 14S
70,96,17M 28S
70,97,17M 3S
70,98,17M 3S
70,101,16M 44S
70,104,16M 6S
70,106,15M 41S
71,106,15M 28S
72,106,15M 28S
72,108,14M 48S
74,108,14M 33S
74,111,14M 10S
77,111,13M 55S
77,113,13M 20S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,115,11M 29S
80,115,11M 7S
80,117,10M 49S
80,119,10M 14S
82,119,9M 33S
84,119,9M 11S
85,119,9M 11S
85,121,8M 53S
88,121,8M 40S
91,121,8M 16S
91,123,8M 1S
93,123,7M 44S
95,123,6M 58S
97,123,5M 37S
98,123,4M 59S
99,123,4M 59S
Jump ball: N. Little vs. J. Nwora (A. Simons gains possession),NA,2M 46S
99,126,2M 35S
99,128,2M 0S
101,128,1M 48S
103,128,1M 23S
103,131,1M 10S
106,131,53S
106,134,37S
End of 4th quarter,NA,0S
