Phoenix,LA Lakers,time_rem
23-11,24-12,48M 0S
3,0,47M 45S
6,0,47M 6S
6,2,46M 46S
6,4,45M 50S
9,4,45M 35S
9,7,45M 6S
10,7,44M 57S
11,7,44M 57S
11,8,44M 50S
11,9,44M 50S
13,9,44M 8S
14,9,44M 8S
14,11,43M 22S
14,13,42M 57S
14,14,42M 38S
14,15,42M 38S
16,15,42M 10S
18,15,41M 22S
21,15,40M 58S
24,15,39M 46S
26,15,39M 10S
26,17,38M 55S
26,19,38M 4S
29,19,37M 27S
29,20,36M 12S
29,21,36M 12S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,24,35M 37S
29,27,35M 1S
31,27,34M 46S
34,27,34M 1S
34,29,33M 35S
34,31,33M 10S
34,33,32M 28S
34,35,32M 3S
35,35,31M 42S
36,35,31M 42S
36,37,31M 29S
38,37,30M 44S
38,40,29M 34S
41,40,29M 27S
41,43,29M 12S
44,43,28M 25S
44,45,28M 4S
45,45,27M 17S
46,45,27M 17S
48,45,27M 7S
50,45,26M 33S
50,48,26M 24S
52,48,26M 5S
52,50,25M 45S
52,51,25M 45S
54,51,25M 19S
56,51,24M 53S
56,53,24M 41S
57,53,24M 32S
60,53,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,55,23M 35S
62,55,23M 9S
62,57,22M 19S
64,57,22M 5S
64,59,21M 16S
64,61,20M 47S
66,61,20M 33S
68,61,20M 15S
69,61,20M 15S
70,61,20M 15S
70,63,19M 56S
70,64,19M 10S
70,65,19M 10S
70,66,19M 10S
70,68,18M 41S
73,68,18M 27S
75,68,17M 49S
75,70,17M 32S
76,70,17M 19S
77,70,17M 19S
77,73,16M 20S
77,74,15M 43S
80,74,15M 24S
80,76,15M 8S
81,76,14M 56S
82,76,14M 56S
82,78,14M 42S
85,78,14M 20S
85,81,13M 59S
86,81,13M 17S
86,83,12M 30S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,83,11M 42S
89,83,11M 20S
90,83,11M 20S
90,85,11M 0S
93,85,10M 27S
93,86,10M 5S
96,86,9M 53S
96,88,9M 37S
98,88,9M 20S
98,90,9M 5S
98,92,8M 1S
98,93,7M 43S
100,93,7M 16S
101,93,6M 39S
104,93,6M 9S
104,95,5M 1S
105,95,4M 48S
106,95,4M 48S
108,95,4M 12S
108,98,4M 3S
110,98,3M 40S
111,98,3M 0S
112,98,3M 0S
112,101,2M 53S
112,104,2M 6S
114,104,1M 1S
End of 4th quarter,NA,0S
