Philadelphia,Brooklyn,time_rem
7-2,5-4,48M 0S
0,2,47M 41S
0,5,47M 12S
2,5,46M 50S
2,7,46M 3S
2,10,45M 38S
4,10,45M 8S
5,10,45M 8S
5,12,45M 0S
5,14,44M 10S
5,15,43M 11S
5,17,42M 19S
8,17,42M 15S
8,19,41M 27S
8,20,41M 27S
10,20,41M 17S
10,22,41M 3S
13,22,40M 53S
15,22,40M 30S
15,24,39M 30S
17,24,39M 15S
19,24,38M 34S
21,24,37M 2S
21,26,36M 49S
21,28,36M 37S
24,28,36M 31S
25,28,36M 6S
26,28,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,28,35M 44S
30,28,35M 15S
32,28,34M 38S
32,31,34M 19S
34,31,34M 1S
34,34,33M 44S
34,36,33M 22S
34,38,32M 56S
36,38,32M 10S
38,38,31M 28S
38,39,31M 12S
38,40,31M 12S
39,40,30M 37S
40,40,30M 37S
40,43,30M 15S
40,44,29M 6S
40,45,29M 6S
40,47,28M 45S
40,48,28M 26S
40,49,28M 26S
42,49,28M 12S
42,51,27M 59S
42,52,27M 59S
44,52,27M 47S
45,52,27M 47S
45,54,27M 4S
45,56,26M 32S
46,56,26M 24S
47,56,26M 24S
47,59,25M 47S
49,59,25M 28S
49,60,25M 15S
49,62,24M 58S
49,65,24M 39S
50,65,24M 4S
51,65,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,65,23M 47S
53,65,23M 47S
53,67,23M 27S
56,67,23M 9S
56,69,22M 50S
58,69,22M 36S
58,71,21M 54S
60,71,21M 43S
63,71,21M 14S
63,74,20M 31S
66,74,20M 18S
66,75,19M 25S
66,76,19M 25S
68,76,19M 15S
68,77,18M 42S
68,79,18M 14S
70,79,18M 3S
70,82,17M 20S
70,85,16M 48S
70,87,16M 27S
70,88,16M 27S
72,88,15M 45S
72,89,15M 8S
74,89,14M 42S
74,92,14M 32S
76,92,14M 8S
78,92,13M 3S
79,92,13M 3S
80,92,13M 3S
82,92,12M 32S
84,92,12M 7S
84,94,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,96,11M 41S
86,96,10M 44S
86,99,10M 34S
87,99,9M 45S
87,101,9M 34S
87,104,9M 8S
90,104,8M 22S
93,104,7M 54S
93,106,7M 34S
94,106,7M 13S
94,108,6M 7S
96,108,5M 47S
96,110,5M 23S
97,110,5M 10S
98,110,5M 10S
98,111,5M 0S
98,112,5M 0S
100,112,4M 48S
100,114,4M 5S
102,114,3M 52S
102,117,3M 0S
104,117,2M 40S
106,117,2M 4S
106,118,1M 49S
106,119,1M 49S
106,122,1M 16S
109,122,1M 0S
End of 4th quarter,NA,0S
