Utah,Toronto,time_rem
30-11,17-24,48M 0S
2,0,47M 45S
2,3,47M 29S
4,3,45M 49S
4,5,45M 24S
7,5,45M 10S
7,7,43M 37S
7,10,42M 57S
10,10,42M 6S
10,13,41M 43S
10,15,41M 5S
11,15,40M 22S
12,15,40M 22S
12,18,40M 9S
15,18,39M 24S
17,18,38M 57S
17,21,38M 46S
18,21,38M 23S
19,21,38M 23S
19,24,38M 5S
19,26,37M 37S
21,26,37M 18S
21,27,36M 11S
22,27,36M 0S
23,27,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,28,35M 41S
23,29,35M 41S
26,29,34M 31S
26,32,34M 16S
29,32,34M 1S
29,33,33M 41S
29,34,33M 41S
29,36,33M 4S
32,36,32M 17S
32,38,31M 58S
35,38,31M 44S
38,38,31M 16S
38,40,31M 0S
38,43,30M 25S
40,43,30M 2S
40,45,29M 45S
42,45,29M 6S
42,46,28M 50S
42,49,28M 38S
44,49,28M 28S
44,51,28M 8S
47,51,27M 55S
48,51,27M 26S
49,51,27M 26S
50,51,25M 30S
51,51,25M 30S
52,51,25M 30S
53,51,25M 1S
55,51,24M 43S
55,54,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,56,23M 4S
57,56,22M 40S
57,59,22M 33S
57,62,21M 56S
59,62,21M 34S
60,62,21M 6S
60,64,19M 58S
60,65,19M 58S
61,65,19M 34S
62,65,19M 34S
62,68,19M 22S
64,68,18M 53S
65,68,18M 53S
65,69,18M 39S
66,69,17M 40S
67,69,17M 40S
67,72,17M 31S
69,72,17M 8S
71,72,16M 39S
71,74,16M 22S
71,76,15M 58S
72,76,15M 42S
73,76,15M 42S
75,76,15M 5S
76,76,14M 32S
77,76,14M 32S
77,77,13M 19S
79,77,12M 52S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,77,11M 51S
80,79,11M 33S
80,81,11M 15S
82,81,10M 49S
82,84,10M 35S
83,84,10M 11S
86,84,9M 45S
89,84,9M 21S
91,84,9M 0S
93,84,8M 24S
94,84,8M 24S
94,87,7M 37S
94,90,6M 43S
94,92,5M 57S
96,92,5M 31S
96,94,5M 14S
99,94,4M 49S
99,97,4M 22S
100,97,4M 2S
101,97,4M 2S
101,99,3M 44S
102,99,3M 27S
103,99,3M 27S
103,102,3M 14S
103,103,2M 51S
103,104,2M 51S
105,104,2M 35S
105,107,2M 15S
105,110,1M 36S
106,110,1M 25S
107,110,1M 25S
109,110,58S
110,110,58S
112,110,29S
113,110,12S
113,112,6S
114,112,5S
115,112,5S
End of 4th quarter,NA,0S
