Sacramento,Memphis,time_rem
31-40,38-33,48M 0S
0,0,47M 48S
0,2,46M 25S
2,2,46M 2S
2,3,45M 33S
2,4,45M 33S
3,4,45M 16S
4,4,45M 16S
4,7,45M 3S
7,7,44M 40S
9,7,44M 10S
9,9,44M 0S
9,10,44M 0S
11,10,43M 46S
11,12,43M 36S
11,14,43M 11S
11,15,42M 36S
11,16,42M 36S
11,18,41M 55S
11,20,41M 18S
13,20,41M 4S
13,23,40M 48S
15,23,40M 26S
17,23,39M 40S
18,23,39M 16S
19,23,38M 50S
19,24,38M 30S
19,25,38M 30S
21,25,38M 9S
21,27,38M 3S
21,28,37M 42S
23,28,36M 46S
23,29,36M 46S
24,29,36M 9S
25,29,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,29,35M 37S
27,31,35M 15S
29,31,35M 0S
30,31,35M 0S
30,34,34M 49S
30,36,34M 21S
32,36,33M 39S
32,38,33M 27S
33,38,33M 18S
34,38,33M 18S
34,40,32M 58S
36,40,32M 42S
36,42,32M 13S
37,42,31M 58S
38,42,31M 58S
41,42,31M 18S
43,42,30M 52S
46,42,30M 27S
49,42,29M 56S
49,44,29M 23S
49,47,28M 23S
51,47,28M 6S
51,50,27M 54S
53,50,27M 0S
54,50,26M 10S
55,50,26M 10S
55,53,25M 22S
57,53,25M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,53,22M 18S
62,53,21M 50S
62,55,21M 32S
62,57,21M 7S
65,57,20M 52S
65,59,20M 37S
66,59,20M 19S
67,59,20M 19S
70,59,19M 59S
70,60,19M 47S
70,61,19M 47S
70,63,18M 49S
70,66,18M 3S
70,67,15M 37S
70,68,15M 37S
72,68,15M 21S
72,69,15M 2S
72,70,15M 2S
74,70,14M 44S
74,72,14M 9S
74,75,13M 47S
76,75,13M 31S
76,77,13M 18S
76,79,12M 50S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,79,11M 13S
80,79,10M 25S
81,79,9M 41S
81,81,9M 20S
84,81,9M 5S
84,83,8M 45S
85,83,8M 21S
86,83,8M 21S
86,86,8M 11S
87,86,8M 0S
87,88,7M 47S
87,89,7M 16S
87,90,7M 16S
89,90,6M 58S
89,93,6M 8S
90,93,5M 57S
91,93,5M 57S
91,94,5M 37S
92,94,5M 25S
94,94,4M 28S
94,96,4M 13S
94,98,3M 19S
97,98,3M 2S
99,98,2M 44S
99,100,2M 31S
99,101,1M 22S
99,104,46S
99,105,38S
101,105,31S
101,106,29S
103,106,14S
103,107,12S
106,107,7S
End of 4th quarter,NA,0S
