Utah,Chicago,time_rem
31-11,19-23,48M 0S
0,0,47M 45S
0,2,47M 22S
0,4,46M 59S
3,4,46M 32S
3,6,46M 2S
3,8,45M 40S
5,8,45M 27S
6,8,45M 27S
6,10,45M 8S
9,10,43M 23S
9,11,42M 53S
9,12,42M 53S
9,14,42M 7S
11,14,41M 43S
12,14,40M 55S
13,14,40M 55S
13,17,40M 39S
15,17,40M 16S
15,20,40M 7S
16,20,39M 39S
17,20,39M 39S
20,20,39M 23S
20,23,39M 2S
23,23,38M 14S
26,23,37M 20S
27,23,36M 53S
28,23,36M 53S
29,23,36M 53S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,23,34M 53S
34,23,34M 20S
37,23,33M 49S
39,23,33M 13S
39,25,32M 22S
42,25,31M 29S
42,27,31M 9S
42,29,30M 45S
42,31,30M 13S
45,31,30M 1S
48,31,29M 33S
48,33,28M 23S
50,33,27M 40S
50,35,27M 13S
51,35,27M 0S
52,35,27M 0S
52,36,26M 20S
52,37,26M 20S
52,40,25M 33S
54,40,25M 7S
56,40,24M 35S
56,42,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,42,23M 43S
59,45,23M 15S
61,45,23M 6S
63,45,21M 55S
66,45,20M 55S
66,47,20M 7S
66,48,20M 7S
68,48,19M 49S
68,50,19M 38S
68,52,18M 21S
70,52,17M 59S
70,54,17M 44S
72,54,17M 12S
72,56,16M 49S
75,56,16M 34S
75,58,16M 21S
77,58,16M 7S
80,58,15M 27S
80,60,15M 10S
80,62,14M 41S
80,63,14M 41S
82,63,14M 28S
82,65,14M 10S
85,65,13M 26S
85,67,13M 11S
86,67,13M 1S
87,67,13M 1S
87,69,12M 35S
87,71,12M 22S
89,71,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,73,11M 24S
91,73,11M 14S
91,75,10M 52S
91,77,9M 37S
93,77,9M 24S
95,77,8M 53S
95,79,8M 43S
97,79,8M 26S
99,79,7M 37S
101,79,6M 31S
101,81,6M 19S
101,83,5M 33S
103,83,4M 56S
103,84,4M 42S
103,85,4M 42S
105,85,4M 29S
107,85,4M 2S
109,85,3M 26S
110,85,3M 26S
110,87,3M 5S
110,88,2M 46S
110,91,2M 25S
112,91,2M 7S
115,91,1M 25S
115,93,59S
117,93,47S
120,93,27S
120,94,13S
120,95,13S
End of 4th quarter,NA,0S
