Utah,Sacramento,time_rem
45-17,25-37,48M 0S
0,2,47M 39S
2,2,47M 2S
3,2,46M 36S
4,2,46M 36S
4,4,46M 21S
6,4,46M 4S
7,4,45M 25S
8,4,45M 25S
8,6,44M 49S
9,6,44M 39S
10,6,44M 39S
10,8,44M 22S
10,9,43M 56S
10,10,43M 56S
10,11,43M 56S
10,13,43M 44S
12,13,43M 24S
15,13,43M 1S
15,16,42M 49S
18,16,42M 35S
18,18,42M 14S
20,18,41M 56S
22,18,40M 53S
24,18,40M 32S
26,18,39M 33S
26,21,39M 13S
26,23,38M 28S
26,25,38M 3S
27,25,37M 27S
28,25,37M 27S
30,25,37M 9S
30,27,36M 55S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,27,35M 50S
33,27,35M 50S
35,27,35M 20S
37,27,34M 46S
40,27,33M 52S
43,27,33M 18S
43,29,33M 7S
45,29,32M 40S
47,29,31M 26S
50,29,31M 0S
53,29,30M 42S
53,31,29M 26S
56,31,29M 12S
59,31,28M 42S
59,33,28M 28S
61,33,28M 2S
61,35,27M 22S
64,35,26M 57S
64,37,26M 42S
65,37,26M 26S
66,37,26M 26S
66,39,26M 16S
69,39,26M 4S
71,39,25M 40S
71,40,25M 27S
71,41,25M 27S
72,41,25M 15S
73,41,25M 15S
74,41,25M 15S
74,44,25M 5S
76,44,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
78,44,23M 43S
79,44,23M 43S
79,46,23M 25S
82,46,23M 14S
82,48,23M 4S
82,50,22M 17S
85,50,21M 32S
85,52,21M 3S
88,52,20M 8S
88,54,19M 56S
88,56,19M 29S
88,58,19M 6S
90,58,18M 50S
91,58,18M 21S
92,58,18M 21S
93,58,17M 58S
93,61,17M 46S
94,61,17M 30S
95,61,17M 30S
97,61,16M 55S
97,63,16M 45S
100,63,16M 20S
100,64,15M 57S
100,65,15M 57S
102,65,15M 40S
102,67,15M 24S
104,67,15M 8S
104,69,14M 55S
106,69,14M 37S
106,72,14M 27S
109,72,14M 5S
111,72,13M 34S
113,72,12M 34S
113,74,12M 13S
116,74,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
116,76,10M 58S
119,76,10M 38S
121,76,10M 8S
123,76,9M 48S
123,77,9M 35S
123,79,8M 34S
125,79,8M 10S
125,81,7M 58S
128,81,7M 36S
128,83,7M 25S
130,83,7M 4S
133,83,6M 38S
135,83,5M 57S
135,85,5M 31S
135,87,5M 6S
138,87,4M 44S
138,89,4M 22S
141,89,4M 3S
141,90,3M 52S
141,91,3M 52S
143,91,3M 28S
143,94,3M 16S
146,94,3M 0S
146,95,2M 44S
146,97,1M 54S
146,98,1M 54S
149,98,1M 38S
152,98,1M 8S
152,100,58S
154,100,52S
154,101,33S
154,102,33S
154,105,5S
End of 4th quarter,NA,0S
