Chicago,Dallas,time_rem
5-8,6-6,48M 0S
0,0,47M 44S
0,2,47M 14S
3,2,46M 59S
3,4,45M 40S
5,4,44M 58S
5,7,44M 43S
5,10,44M 9S
6,10,43M 21S
6,12,43M 5S
7,12,42M 51S
7,14,42M 39S
9,14,42M 22S
Jump ball: W. Carter vs. B. Marjanović (C. White gains possession),NA,41M 49S
9,16,41M 30S
11,16,41M 19S
12,16,40M 44S
13,16,40M 44S
14,16,40M 29S
14,19,40M 8S
16,19,39M 49S
17,19,39M 27S
18,19,39M 27S
20,19,39M 8S
22,19,38M 20S
23,19,37M 31S
23,20,37M 16S
25,20,37M 3S
25,22,36M 31S
25,23,36M 31S
27,23,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,23,35M 35S
31,23,33M 53S
33,23,33M 20S
35,23,32M 49S
35,25,32M 36S
35,26,32M 36S
37,26,32M 5S
39,26,31M 13S
39,28,31M 1S
39,30,30M 16S
40,30,29M 28S
41,30,29M 28S
42,30,28M 55S
43,30,28M 55S
43,31,28M 47S
43,32,28M 47S
46,32,28M 35S
46,34,28M 13S
47,34,27M 59S
48,34,27M 59S
49,34,27M 41S
50,34,27M 41S
52,34,27M 21S
53,34,27M 21S
53,37,27M 0S
56,37,26M 47S
56,39,26M 34S
58,39,26M 15S
58,41,26M 4S
60,41,25M 44S
60,44,25M 31S
62,44,25M 19S
62,46,24M 59S
65,46,24M 49S
65,49,24M 35S
65,52,24M 14S
66,52,24M 4S
67,52,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,52,23M 6S
69,54,22M 25S
71,54,22M 0S
71,56,21M 19S
74,56,21M 8S
74,58,20M 10S
74,59,19M 42S
74,60,19M 42S
77,60,19M 6S
77,62,18M 47S
77,64,18M 16S
77,66,17M 53S
78,66,17M 22S
79,66,17M 22S
79,68,17M 13S
79,70,16M 34S
82,70,15M 54S
84,70,15M 21S
86,70,14M 52S
87,70,14M 52S
87,72,14M 19S
87,73,13M 58S
89,73,13M 12S
89,75,12M 56S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,75,10M 38S
91,77,10M 27S
93,77,10M 5S
93,79,9M 43S
93,81,9M 26S
95,81,9M 4S
95,83,8M 53S
97,83,8M 26S
99,83,7M 38S
99,85,7M 28S
101,85,7M 11S
101,87,6M 28S
103,87,6M 11S
103,88,5M 58S
103,89,5M 58S
103,92,5M 25S
105,92,5M 11S
107,92,4M 30S
107,94,4M 16S
109,94,4M 0S
111,94,3M 24S
113,94,3M 2S
113,96,2M 50S
113,98,2M 18S
113,99,1M 44S
115,99,1M 23S
116,99,1M 5S
117,99,1M 5S
117,101,29S
End of 4th quarter,NA,0S
