Golden State,Indiana,time_rem
18-15,15-15,48M 0S
0,0,47M 47S
0,3,47M 14S
2,3,46M 42S
3,3,46M 42S
5,3,46M 13S
7,3,45M 35S
7,5,45M 24S
7,7,44M 57S
7,8,44M 27S
7,9,44M 27S
9,9,44M 12S
9,12,43M 50S
11,12,42M 3S
11,14,41M 43S
14,14,40M 10S
17,14,39M 36S
17,16,39M 23S
19,16,39M 12S
21,16,38M 25S
23,16,38M 8S
23,18,36M 42S
24,18,36M 33S
25,18,36M 33S
25,20,36M 25S
25,22,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,23,35M 48S
25,24,35M 48S
25,25,35M 33S
25,26,35M 33S
26,26,35M 8S
27,26,35M 8S
27,27,34M 54S
27,28,34M 54S
29,28,34M 7S
31,28,33M 38S
31,30,33M 27S
33,30,33M 12S
33,32,32M 59S
35,32,32M 45S
35,34,32M 33S
37,34,32M 17S
38,34,32M 17S
38,35,32M 2S
38,37,30M 55S
39,37,30M 42S
40,37,30M 42S
40,40,30M 25S
40,42,29M 57S
41,42,29M 45S
42,42,29M 45S
44,42,29M 16S
44,43,28M 46S
45,43,28M 33S
46,43,28M 33S
46,45,28M 11S
48,45,27M 20S
48,47,26M 58S
50,47,26M 48S
50,49,26M 36S
50,51,26M 15S
50,53,25M 50S
51,53,25M 35S
52,53,25M 35S
52,55,25M 17S
52,56,25M 17S
54,56,25M 8S
Jump ball: K. Looney vs. D. Sabonis (K. Oubre gains possession),NA,24M 56S
56,56,24M 39S
56,58,24M 31S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,61,23M 35S
56,63,23M 2S
57,63,22M 46S
58,63,22M 46S
60,63,22M 26S
62,63,21M 29S
62,65,21M 1S
63,65,20M 50S
65,65,20M 27S
65,67,20M 17S
65,69,19M 56S
67,69,19M 37S
68,69,19M 19S
69,69,19M 19S
69,70,17M 28S
69,71,17M 28S
72,71,17M 17S
72,72,16M 34S
72,73,16M 34S
74,73,15M 20S
74,75,14M 54S
77,75,14M 45S
79,75,14M 6S
81,75,13M 13S
81,77,12M 54S
81,78,12M 54S
82,78,12M 30S
82,79,12M 17S
82,80,12M 17S
84,80,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,83,11M 15S
86,83,10M 49S
86,86,10M 39S
Jump ball: A. Wiggins vs. A. Holiday (E. Paschall gains possession),NA,9M 48S
89,86,9M 21S
89,88,8M 53S
89,89,8M 21S
91,89,7M 41S
91,91,7M 26S
93,91,7M 11S
94,91,6M 34S
95,91,6M 34S
95,92,6M 1S
97,92,5M 49S
97,93,5M 35S
97,94,5M 35S
97,95,5M 14S
97,96,5M 14S
99,96,5M 2S
99,98,4M 36S
101,98,3M 50S
102,98,2M 51S
103,98,2M 51S
105,98,2M 21S
105,101,1M 26S
107,101,1M 14S
107,102,1M 6S
107,103,1M 6S
107,105,12S
108,105,10S
109,105,10S
110,105,7S
111,105,7S
111,107,0S
End of 4th quarter,NA,0S
