Minnesota,LA Lakers,time_rem
2-1,2-1,48M 0S
0,3,47M 36S
0,6,47M 6S
2,6,46M 25S
2,9,46M 8S
4,9,45M 56S
4,11,45M 46S
4,12,45M 46S
4,15,45M 20S
6,15,45M 3S
6,18,44M 8S
8,18,43M 34S
8,21,43M 19S
10,21,43M 4S
12,21,42M 27S
12,23,42M 14S
12,25,41M 44S
12,26,41M 3S
14,26,40M 50S
14,28,40M 43S
14,30,40M 6S
14,32,39M 37S
14,34,39M 21S
16,34,39M 9S
16,36,38M 46S
18,36,37M 32S
19,36,37M 32S
21,36,36M 59S
21,38,36M 36S
21,39,36M 16S
21,40,36M 16S
23,40,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,43,35M 31S
25,43,35M 15S
25,46,34M 36S
27,46,34M 20S
Jump ball: M. Harrell vs. E. Davis (A. Caruso gains possession),NA,34M 4S
27,48,33M 58S
27,50,33M 19S
30,50,32M 52S
32,50,32M 5S
35,50,31M 36S
35,52,31M 14S
35,54,30M 39S
36,54,30M 5S
36,57,29M 52S
36,59,29M 31S
36,61,29M 7S
38,61,28M 45S
38,63,26M 56S
41,63,26M 42S
41,65,26M 9S
41,67,25M 16S
43,67,24M 42S
45,67,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,69,23M 19S
48,69,22M 56S
48,71,21M 43S
48,73,21M 1S
48,74,21M 1S
49,74,20M 49S
49,76,20M 31S
49,77,20M 31S
51,77,19M 47S
51,79,19M 35S
51,82,19M 14S
53,82,18M 52S
55,82,18M 17S
55,84,18M 6S
57,84,17M 49S
57,86,17M 30S
57,87,17M 30S
58,87,17M 17S
59,87,17M 17S
59,88,16M 55S
59,89,16M 55S
61,89,16M 43S
61,91,16M 32S
61,93,15M 52S
63,93,15M 18S
63,96,15M 5S
65,96,13M 39S
65,99,13M 21S
66,99,13M 11S
67,99,13M 11S
67,101,12M 14S
67,102,12M 3S
67,103,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
69,103,11M 13S
69,105,10M 20S
69,107,9M 19S
71,107,8M 58S
73,107,8M 6S
73,109,7M 53S
73,110,6M 29S
73,111,6M 29S
75,111,5M 42S
75,113,5M 30S
75,115,5M 1S
75,117,4M 5S
78,117,3M 52S
78,119,3M 12S
81,119,2M 39S
81,122,2M 22S
83,122,2M 3S
83,124,1M 43S
85,124,1M 29S
86,124,56S
87,124,56S
89,124,34S
89,126,25S
89,127,25S
91,127,17S
End of 4th quarter,NA,0S
