Chicago,Indiana,time_rem
11-15,14-14,48M 0S
0,0,47M 46S
0,1,47M 46S
2,1,47M 28S
2,3,47M 0S
4,3,46M 16S
7,3,45M 53S
7,6,45M 24S
7,9,43M 36S
9,9,42M 51S
11,9,40M 54S
11,11,40M 43S
13,11,40M 34S
14,11,39M 39S
14,13,39M 28S
16,13,39M 14S
17,13,39M 14S
17,15,39M 1S
19,15,38M 35S
19,17,37M 39S
21,17,37M 15S
22,17,37M 15S
22,18,37M 8S
22,19,37M 8S
22,20,36M 54S
24,20,36M 44S
24,21,36M 43S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,21,35M 41S
28,21,34M 55S
29,21,34M 55S
29,23,34M 44S
31,23,34M 28S
31,25,34M 2S
31,27,33M 38S
33,27,33M 21S
33,28,33M 17S
33,30,32M 30S
36,30,31M 45S
38,30,30M 52S
38,32,30M 15S
38,33,29M 46S
38,34,29M 46S
38,36,29M 20S
40,36,29M 4S
40,37,28M 48S
40,38,28M 48S
40,40,28M 14S
40,41,28M 14S
43,41,27M 32S
46,41,26M 43S
46,43,25M 56S
47,43,25M 9S
49,43,24M 35S
49,44,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,44,23M 24S
51,44,23M 24S
51,45,23M 4S
54,45,22M 39S
54,47,22M 24S
55,47,22M 17S
56,47,22M 17S
58,47,20M 48S
58,49,20M 34S
58,50,20M 34S
60,50,20M 13S
60,53,19M 26S
62,53,18M 38S
62,55,17M 48S
64,55,17M 28S
64,57,17M 10S
64,59,16M 47S
64,62,16M 26S
64,64,15M 48S
64,67,15M 21S
65,67,15M 5S
66,67,15M 5S
69,67,14M 8S
69,69,13M 55S
69,70,13M 55S
72,70,13M 39S
Jump ball: D. Sabonis vs. G. Temple (M. Brogdon gains possession),NA,13M 18S
74,70,12M 57S
76,70,12M 31S
79,70,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,70,11M 33S
81,72,10M 45S
81,75,10M 12S
84,75,9M 49S
84,78,9M 33S
86,78,8M 48S
86,80,8M 42S
86,81,8M 42S
86,83,7M 54S
88,83,7M 33S
88,84,7M 21S
88,85,7M 21S
88,88,7M 2S
89,88,6M 50S
90,88,6M 50S
90,90,6M 28S
92,90,6M 4S
92,91,5M 37S
92,92,5M 37S
92,93,4M 58S
92,94,4M 58S
94,94,4M 38S
96,94,3M 29S
96,95,3M 27S
96,97,3M 11S
99,97,2M 48S
99,98,2M 20S
99,99,2M 20S
99,101,1M 28S
101,101,1M 13S
101,103,46S
104,103,28S
105,103,19S
105,105,10S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: T. Young vs. M. Turner (T. McConnell gains possession),NA,5M 0S
107,105,4M 27S
110,105,3M 43S
110,107,3M 28S
112,107,2M 58S
114,107,1M 51S
114,109,1M 47S
116,109,1M 31S
116,112,24S
117,112,12S
118,112,12S
119,112,5S
120,112,5S
End of 1st overtime,NA,0S
