Atlanta,Detroit,time_rem
34-28,19-43,48M 0S
0,2,47M 39S
2,2,47M 17S
2,4,47M 2S
4,4,45M 33S
4,5,45M 16S
4,6,45M 16S
6,6,44M 32S
6,8,44M 13S
9,8,43M 47S
11,8,43M 16S
11,10,42M 58S
11,12,42M 29S
13,12,42M 12S
13,14,41M 6S
15,14,40M 41S
15,17,40M 27S
15,19,40M 1S
17,19,39M 44S
17,21,39M 26S
17,24,38M 51S
19,24,38M 17S
21,24,37M 49S
23,24,37M 20S
23,27,37M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,29,35M 9S
24,29,34M 25S
24,31,33M 37S
25,31,33M 17S
26,31,33M 17S
28,31,32M 57S
28,33,32M 52S
28,34,32M 52S
28,36,31M 42S
29,36,31M 41S
29,38,30M 50S
30,38,30M 37S
32,38,29M 38S
32,40,29M 12S
34,40,29M 4S
36,40,28M 41S
36,43,28M 30S
36,45,28M 6S
36,47,27M 36S
36,50,27M 3S
38,50,26M 28S
38,51,25M 59S
38,52,25M 59S
40,52,25M 38S
40,54,25M 20S
42,54,24M 59S
44,54,24M 16S
44,55,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
46,55,22M 39S
46,57,21M 55S
49,57,21M 29S
49,58,21M 18S
49,59,21M 18S
49,61,20M 54S
50,61,20M 40S
51,61,20M 40S
53,61,20M 11S
53,62,19M 28S
53,63,19M 28S
55,63,18M 49S
57,63,18M 29S
57,65,18M 11S
57,68,17M 28S
57,70,16M 58S
59,70,16M 39S
59,72,15M 25S
59,74,14M 52S
60,74,14M 20S
61,74,14M 20S
Jump ball: J. Grant vs. K. Dunn (K. Hayes gains possession),NA,13M 38S
62,74,13M 20S
63,74,13M 20S
64,74,13M 20S
67,74,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
67,77,11M 42S
69,77,11M 15S
69,79,10M 54S
69,82,9M 49S
71,82,9M 3S
73,82,8M 30S
73,84,8M 13S
73,87,7M 41S
Jump ball: K. Dunn vs. K. Hayes (C. Capela gains possession),NA,6M 28S
73,88,5M 45S
76,88,5M 37S
76,90,5M 20S
76,92,4M 59S
76,94,4M 9S
78,94,3M 52S
78,96,3M 17S
78,98,2M 52S
79,98,2M 41S
80,98,2M 41S
80,100,1M 42S
82,100,1M 28S
84,100,55S
85,100,17S
86,100,17S
End of 4th quarter,NA,0S
