LA Clippers,Washington,time_rem
24-14,14-20,48M 0S
0,0,47M 45S
2,0,47M 26S
2,1,46M 36S
2,3,46M 5S
5,3,45M 40S
7,3,44M 35S
10,3,44M 4S
10,5,43M 36S
10,7,43M 21S
10,10,43M 0S
10,11,43M 0S
12,11,42M 46S
12,14,42M 32S
12,16,42M 15S
13,16,41M 48S
14,16,41M 48S
17,16,41M 15S
17,18,40M 37S
17,20,39M 6S
19,20,38M 20S
22,20,37M 46S
22,23,37M 17S
22,25,36M 10S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,25,35M 42S
25,27,35M 25S
25,29,35M 12S
27,29,34M 45S
27,31,34M 12S
29,31,33M 56S
30,31,33M 36S
33,31,33M 11S
33,33,32M 51S
34,33,32M 35S
34,35,32M 15S
36,35,32M 0S
36,37,31M 45S
38,37,31M 26S
40,37,30M 56S
42,37,30M 17S
42,39,29M 56S
44,39,29M 30S
44,41,29M 15S
46,41,28M 59S
48,41,28M 25S
50,41,28M 5S
52,41,27M 39S
53,41,27M 14S
54,41,27M 14S
54,42,27M 5S
54,43,26M 35S
55,43,26M 27S
56,43,26M 27S
58,43,26M 4S
58,45,25M 50S
61,45,25M 28S
61,46,25M 18S
61,47,25M 18S
61,49,25M 4S
61,51,24M 36S
61,52,24M 36S
61,54,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,54,23M 26S
63,54,23M 26S
63,56,23M 8S
63,57,22M 33S
63,60,22M 12S
63,61,21M 31S
63,62,21M 31S
63,64,20M 58S
63,65,20M 14S
63,66,20M 14S
65,66,19M 56S
65,69,19M 44S
68,69,18M 53S
68,70,18M 41S
68,71,17M 47S
68,73,17M 22S
69,73,16M 55S
70,73,16M 33S
71,73,16M 33S
73,73,16M 2S
73,74,15M 49S
73,75,15M 30S
73,76,15M 30S
76,76,15M 20S
76,77,15M 5S
78,77,14M 50S
79,77,14M 50S
79,79,14M 37S
82,79,14M 14S
Jump ball: I. Zubac vs. R. Lopez (L. Kennard gains possession),NA,13M 54S
84,79,13M 40S
84,82,13M 23S
84,85,12M 44S
87,85,12M 30S
87,87,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,87,11M 36S
89,89,11M 22S
91,89,11M 10S
92,89,10M 28S
93,89,10M 28S
93,90,10M 13S
93,92,8M 46S
96,92,8M 28S
96,94,7M 43S
96,96,7M 17S
97,96,6M 52S
98,96,6M 52S
101,96,6M 26S
101,97,6M 13S
101,98,6M 13S
101,100,5M 38S
104,100,5M 17S
104,102,5M 3S
105,102,4M 36S
106,102,4M 36S
106,105,3M 57S
106,108,3M 15S
106,110,2M 7S
106,111,1M 36S
106,112,1M 36S
106,113,46S
109,113,41S
109,114,37S
109,115,37S
110,115,29S
111,115,29S
112,115,29S
112,116,19S
115,116,15S
115,117,11S
115,118,11S
116,118,8S
117,118,8S
117,119,7S
End of 4th quarter,NA,0S
