Orlando,Utah,time_rem
17-32,38-11,48M 0S
0,0,47M 47S
2,0,47M 35S
2,3,47M 21S
2,5,45M 44S
2,8,45M 6S
5,8,44M 51S
5,11,44M 38S
5,13,43M 37S
7,13,43M 18S
7,16,42M 56S
9,16,42M 35S
9,19,42M 12S
11,19,41M 48S
11,20,41M 37S
11,21,41M 37S
13,21,41M 26S
14,21,41M 26S
14,23,40M 36S
16,23,40M 28S
16,26,39M 49S
18,26,39M 31S
18,29,38M 46S
18,32,38M 4S
18,34,37M 29S
18,37,36M 38S
18,38,36M 4S
20,38,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,38,35M 49S
22,41,35M 34S
22,43,34M 55S
22,46,34M 39S
22,48,34M 9S
24,48,33M 28S
24,50,33M 12S
24,51,33M 12S
27,51,32M 54S
27,54,32M 30S
27,56,31M 30S
27,59,30M 40S
28,59,30M 23S
29,59,30M 23S
30,59,30M 23S
31,59,30M 5S
31,61,29M 50S
31,64,29M 12S
31,67,28M 37S
31,69,28M 16S
33,69,28M 4S
33,72,27M 51S
33,75,27M 22S
35,75,26M 15S
36,75,25M 31S
37,75,25M 12S
38,75,25M 12S
38,78,24M 35S
39,78,24M 2S
40,78,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
40,79,23M 31S
40,80,22M 47S
42,80,22M 28S
42,83,22M 7S
44,83,21M 44S
44,86,21M 28S
46,86,21M 5S
46,89,20M 51S
46,92,20M 6S
48,92,19M 46S
50,92,19M 15S
50,94,18M 58S
52,94,18M 38S
53,94,18M 38S
53,96,18M 18S
53,98,17M 45S
54,98,17M 22S
55,98,17M 22S
55,100,16M 59S
57,100,16M 47S
57,102,16M 32S
59,102,15M 47S
61,102,15M 30S
63,102,14M 43S
63,105,14M 20S
64,105,14M 2S
65,105,14M 2S
66,105,13M 33S
67,105,13M 33S
69,105,13M 9S
70,105,13M 9S
70,107,12M 52S
72,107,12M 22S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,109,11M 37S
72,111,10M 52S
74,111,10M 33S
74,113,10M 17S
75,113,9M 58S
76,113,9M 58S
77,113,9M 41S
77,115,8M 39S
77,116,8M 2S
77,117,8M 2S
77,118,8M 2S
78,118,7M 42S
78,120,7M 30S
80,120,7M 12S
82,120,7M 7S
84,120,6M 43S
86,120,6M 6S
86,122,4M 56S
87,122,4M 50S
87,125,4M 21S
87,127,3M 33S
89,127,3M 16S
89,129,2M 51S
90,129,2M 25S
91,129,2M 25S
91,131,2M 6S
91,134,1M 35S
91,137,44S
End of 4th quarter,NA,0S
