Detroit,Milwaukee,time_rem
1-6,4-3,48M 0S
0,0,47M 43S
0,1,47M 43S
0,2,47M 43S
3,2,47M 25S
3,4,46M 59S
3,6,45M 54S
6,6,45M 42S
9,6,45M 14S
9,8,44M 55S
9,10,43M 56S
9,11,43M 56S
12,11,43M 0S
12,13,42M 46S
12,15,42M 19S
14,15,41M 46S
14,18,41M 34S
16,18,41M 15S
16,20,41M 3S
16,22,40M 46S
16,24,40M 8S
19,24,39M 48S
19,26,39M 9S
20,26,38M 48S
21,26,38M 48S
21,28,38M 33S
24,28,37M 33S
26,28,36M 54S
26,31,36M 37S
26,33,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,35,35M 35S
26,38,35M 0S
26,40,34M 15S
27,40,33M 59S
28,40,33M 59S
29,40,33M 59S
31,40,33M 40S
32,40,33M 40S
32,42,33M 30S
34,42,33M 4S
35,42,32M 46S
36,42,32M 46S
36,44,32M 36S
38,44,32M 24S
38,46,32M 7S
39,46,31M 56S
42,46,31M 8S
42,48,30M 47S
42,50,30M 28S
42,52,29M 58S
42,53,29M 58S
44,53,29M 46S
44,56,29M 24S
46,56,28M 16S
46,57,27M 56S
46,58,27M 56S
46,61,27M 26S
Jump ball: J. Okafor vs. G. Antetokounmpo (W. Ellington gains possession),NA,27M 4S
48,61,26M 55S
48,63,26M 34S
51,63,26M 18S
51,65,25M 59S
54,65,25M 40S
54,67,24M 37S
56,67,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,67,23M 39S
58,69,22M 46S
60,69,22M 22S
62,69,21M 28S
62,72,21M 18S
62,75,20M 45S
62,77,19M 20S
64,77,18M 2S
64,80,17M 48S
66,80,17M 21S
68,80,17M 5S
68,81,16M 47S
68,83,16M 35S
68,86,16M 7S
71,86,15M 51S
71,88,15M 2S
73,88,14M 37S
73,90,14M 24S
76,90,14M 16S
76,93,13M 33S
78,93,13M 21S
78,94,12M 58S
78,95,12M 58S
79,95,12M 5S
80,95,12M 5S
80,97,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,97,11M 28S
84,97,10M 46S
86,97,10M 13S
86,100,9M 48S
86,103,9M 2S
88,103,8M 49S
89,103,8M 49S
89,105,8M 18S
91,105,7M 59S
91,108,7M 46S
93,108,7M 26S
93,111,7M 5S
96,111,6M 47S
96,112,6M 27S
96,113,6M 27S
99,113,6M 9S
102,113,5M 39S
105,113,5M 2S
105,115,4M 39S
107,115,4M 18S
107,117,4M 9S
107,118,4M 9S
110,118,2M 38S
110,120,1M 39S
110,122,1M 7S
110,123,45S
112,123,40S
112,125,18S
115,125,9S
End of 4th quarter,NA,0S
