Indiana,LA Clippers,time_rem
8-5,10-4,48M 0S
0,0,47M 42S
3,0,47M 33S
3,2,47M 10S
3,4,46M 45S
3,5,46M 18S
6,5,46M 10S
6,7,45M 45S
8,7,45M 34S
10,7,45M 14S
10,9,45M 1S
10,11,44M 33S
13,11,43M 53S
13,14,43M 39S
13,16,43M 8S
15,16,42M 51S
18,16,42M 17S
21,16,41M 41S
21,19,41M 18S
23,19,40M 32S
23,22,40M 21S
23,24,38M 53S
24,24,38M 47S
24,27,38M 33S
24,30,38M 0S
26,30,37M 9S
26,32,36M 59S
26,34,36M 36S
26,35,36M 1S
26,36,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,38,35M 44S
26,40,34M 34S
29,40,34M 20S
29,41,33M 43S
29,42,33M 43S
31,42,33M 33S
31,44,33M 13S
31,46,32M 24S
33,46,32M 14S
33,48,31M 54S
33,51,31M 19S
35,51,30M 48S
37,51,29M 44S
39,51,29M 13S
41,51,28M 48S
41,53,28M 35S
42,53,28M 13S
43,53,28M 13S
45,53,27M 43S
47,53,27M 28S
47,56,26M 42S
50,56,26M 23S
53,56,25M 43S
53,59,25M 27S
53,60,24M 25S
53,61,24M 25S
55,61,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,63,23M 45S
57,63,23M 30S
59,63,22M 51S
61,63,22M 13S
61,66,21M 59S
61,69,21M 31S
61,70,21M 8S
61,71,21M 8S
62,71,20M 30S
62,73,20M 17S
65,73,20M 1S
65,75,19M 47S
68,75,19M 24S
68,77,18M 40S
68,80,18M 6S
70,80,17M 18S
70,83,17M 8S
70,86,16M 8S
70,88,15M 23S
71,88,14M 33S
72,88,14M 33S
72,91,14M 11S
72,94,13M 40S
72,97,12M 56S
75,97,12M 40S
75,98,12M 4S
75,100,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,100,11M 48S
79,100,11M 25S
81,100,11M 10S
81,102,10M 59S
81,103,10M 59S
81,105,10M 39S
81,108,10M 20S
Jump ball: G. Bitadze vs. L. Kennard (T. McConnell gains possession),NA,9M 46S
81,109,9M 0S
81,110,9M 0S
83,110,8M 45S
85,110,8M 14S
85,113,8M 0S
85,116,7M 29S
87,116,7M 6S
89,116,5M 55S
90,116,5M 55S
90,118,4M 38S
90,120,3M 14S
90,121,2M 50S
92,121,2M 40S
93,121,2M 40S
93,123,2M 6S
93,125,1M 44S
94,125,1M 34S
95,125,1M 34S
95,127,1M 18S
95,129,33S
96,129,31S
End of 4th quarter,NA,0S
