Minnesota,Atlanta,time_rem
3-9,6-7,48M 0S
0,0,47M 43S
2,0,45M 56S
2,2,45M 40S
4,2,45M 28S
4,4,45M 8S
6,4,44M 40S
9,4,44M 11S
9,6,43M 40S
11,6,43M 27S
11,8,43M 10S
11,11,42M 40S
11,12,42M 13S
11,13,42M 13S
11,15,41M 53S
11,18,41M 26S
14,18,41M 13S
14,20,40M 57S
14,22,40M 21S
16,22,39M 45S
19,22,39M 24S
21,22,38M 36S
21,23,38M 29S
21,24,38M 29S
24,24,38M 19S
24,26,37M 46S
25,26,36M 36S
25,29,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,29,35M 48S
27,32,34M 33S
29,32,34M 6S
30,32,33M 47S
30,33,33M 31S
30,34,33M 31S
33,34,33M 20S
33,36,32M 43S
35,36,32M 32S
35,37,32M 25S
35,38,32M 25S
35,41,32M 5S
35,44,31M 32S
35,46,31M 13S
35,47,30M 40S
35,48,30M 40S
36,48,30M 5S
37,48,30M 5S
39,48,29M 22S
41,48,28M 36S
41,50,28M 19S
43,50,27M 38S
43,52,27M 25S
43,54,26M 55S
43,55,26M 55S
Jump ball: K. Huerter vs. M. Beasley (J. Collins gains possession),NA,25M 59S
44,55,25M 46S
47,55,25M 25S
47,56,24M 55S
47,58,24M 25S
50,58,24M 8S
51,58,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,58,23M 15S
56,58,22M 47S
58,58,22M 35S
58,61,22M 23S
58,63,21M 39S
58,65,21M 5S
60,65,20M 22S
60,67,19M 58S
60,70,19M 24S
60,72,17M 40S
60,73,17M 40S
61,73,17M 13S
61,75,16M 30S
63,75,15M 31S
64,75,15M 9S
66,75,13M 37S
66,76,13M 19S
66,78,12M 47S
67,78,12M 30S
68,78,12M 30S
69,78,12M 30S
71,78,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,79,11M 45S
71,80,11M 45S
74,80,10M 54S
74,82,8M 43S
76,82,8M 23S
76,83,8M 5S
76,85,7M 55S
76,87,7M 9S
78,87,6M 54S
78,90,6M 34S
78,93,5M 59S
80,93,5M 11S
83,93,4M 51S
83,95,3M 56S
86,95,3M 36S
89,95,3M 6S
89,98,2M 42S
92,98,2M 24S
92,100,2M 1S
94,100,1M 47S
94,102,1M 21S
94,103,33S
94,104,33S
97,104,31S
97,105,24S
97,106,24S
97,107,14S
97,108,14S
Jump ball: D. Hunter vs. D. Russell (K. Huerter gains possession),NA,1S
End of 4th quarter,NA,0S
