Houston,Utah,time_rem
16-52,50-18,48M 0S
0,0,47M 45S
2,0,47M 39S
2,2,47M 25S
2,5,46M 58S
2,8,46M 33S
2,11,45M 18S
5,11,45M 3S
5,13,44M 44S
5,15,44M 16S
5,17,43M 47S
7,17,43M 36S
7,19,43M 20S
7,21,43M 2S
7,22,43M 2S
10,22,42M 53S
13,22,42M 6S
16,22,41M 44S
16,24,41M 24S
18,24,40M 49S
21,24,40M 9S
23,24,39M 39S
23,26,39M 7S
23,27,38M 36S
23,28,38M 36S
25,28,38M 23S
27,28,37M 46S
29,28,37M 6S
29,30,36M 51S
32,30,36M 19S
32,32,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,32,35M 45S
36,32,34M 45S
36,35,34M 3S
39,35,33M 31S
42,35,32M 55S
42,38,32M 5S
42,40,31M 40S
42,42,31M 10S
42,44,30M 37S
45,44,30M 24S
45,45,29M 59S
46,45,29M 39S
46,46,29M 29S
46,47,29M 29S
46,48,28M 54S
46,49,28M 42S
46,50,28M 42S
49,50,28M 29S
49,53,28M 14S
49,54,27M 46S
49,55,27M 46S
49,56,27M 46S
49,58,27M 31S
51,58,27M 12S
52,58,26M 55S
53,58,26M 55S
Jump ball: R. Gobert vs. K. Thomas (R. O'Neale gains possession),NA,26M 41S
53,60,26M 37S
54,60,26M 23S
56,60,25M 56S
56,62,25M 38S
56,64,25M 18S
56,66,24M 34S
58,66,24M 28S
60,66,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,69,23M 32S
62,69,22M 33S
62,71,22M 19S
62,73,22M 0S
62,76,21M 37S
64,76,21M 18S
64,77,21M 3S
64,78,21M 3S
65,78,20M 51S
66,78,20M 51S
66,80,20M 37S
66,81,19M 59S
69,81,19M 30S
69,83,19M 15S
69,85,18M 44S
69,88,18M 19S
71,88,17M 41S
72,88,16M 36S
73,88,16M 36S
74,88,15M 21S
75,88,15M 21S
75,91,15M 8S
75,93,14M 36S
75,96,14M 4S
78,96,13M 42S
80,96,13M 13S
83,96,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,99,11M 12S
84,99,11M 10S
84,101,10M 11S
86,101,9M 41S
88,101,9M 16S
88,103,8M 51S
90,103,8M 39S
90,105,8M 28S
93,105,8M 15S
93,107,7M 35S
93,108,7M 12S
93,109,7M 12S
93,111,6M 48S
96,111,6M 31S
96,114,5M 38S
98,114,5M 16S
98,117,5M 0S
100,117,4M 47S
100,120,4M 38S
102,120,4M 11S
102,121,3M 55S
102,122,3M 55S
102,124,3M 37S
105,124,3M 27S
108,124,3M 5S
109,124,2M 10S
112,124,2M 4S
114,124,1M 3S
116,124,20S
End of 4th quarter,NA,0S
