Dallas,Memphis,time_rem
40-29,36-33,48M 0S
0,0,47M 46S
2,0,47M 25S
2,3,47M 7S
2,5,46M 24S
4,5,46M 11S
6,5,45M 45S
6,7,45M 30S
6,9,44M 21S
8,9,44M 6S
8,11,43M 23S
10,11,42M 34S
10,13,42M 17S
11,13,41M 59S
12,13,41M 59S
14,13,41M 33S
14,16,41M 18S
16,16,41M 2S
19,16,40M 26S
22,16,40M 2S
22,17,39M 37S
25,17,39M 29S
25,19,39M 14S
25,22,37M 57S
27,22,37M 40S
27,25,37M 19S
27,28,36M 13S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,29,35M 17S
27,30,35M 17S
29,30,34M 34S
29,33,34M 17S
29,34,33M 53S
29,35,33M 53S
31,35,33M 34S
31,37,33M 20S
32,37,33M 5S
33,37,33M 5S
36,37,32M 32S
36,39,32M 10S
36,41,31M 50S
39,41,31M 31S
39,44,31M 8S
41,44,30M 15S
41,46,30M 1S
44,46,29M 38S
44,48,29M 21S
47,48,29M 4S
49,48,28M 28S
51,48,28M 8S
53,48,27M 32S
53,50,27M 12S
53,52,26M 39S
53,53,26M 10S
53,54,26M 10S
55,54,25M 47S
55,57,25M 8S
57,57,24M 48S
57,60,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,63,23M 35S
59,63,23M 20S
61,63,22M 12S
62,63,22M 12S
62,66,21M 38S
62,68,21M 3S
64,68,20M 50S
64,69,20M 30S
64,70,20M 30S
64,71,20M 6S
64,72,20M 6S
65,72,19M 30S
66,72,19M 1S
67,72,19M 1S
69,72,18M 40S
69,74,18M 23S
71,74,18M 5S
71,76,17M 53S
71,78,17M 20S
71,80,16M 49S
71,82,16M 22S
71,84,16M 5S
73,84,15M 51S
76,84,15M 19S
76,85,14M 47S
76,86,14M 47S
76,88,14M 29S
77,88,13M 30S
78,88,13M 30S
78,90,13M 17S
80,90,13M 0S
80,93,12M 45S
80,96,12M 10S
81,96,12M 2S
82,96,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,98,11M 45S
82,99,11M 3S
82,100,11M 3S
82,102,10M 43S
82,104,9M 59S
83,104,9M 42S
84,104,9M 42S
86,104,9M 1S
86,106,8M 34S
86,109,7M 51S
89,109,7M 31S
89,111,7M 15S
92,111,7M 0S
92,113,6M 48S
95,113,6M 38S
95,115,6M 19S
96,115,5M 59S
97,115,5M 59S
97,117,5M 39S
97,120,5M 14S
97,123,4M 41S
98,123,3M 42S
99,123,3M 42S
99,125,3M 33S
99,127,2M 31S
102,127,2M 18S
102,129,1M 59S
104,129,1M 38S
104,131,1M 19S
104,133,49S
End of 4th quarter,NA,0S
