Utah,Minnesota,time_rem
44-17,18-44,48M 0S
3,0,47M 47S
3,3,46M 27S
3,5,44M 21S
5,5,44M 4S
8,5,43M 8S
11,5,42M 19S
13,5,41M 46S
16,5,41M 20S
16,8,40M 48S
19,8,39M 19S
19,11,39M 0S
21,11,38M 39S
21,14,38M 27S
24,14,38M 12S
26,14,37M 46S
26,17,37M 7S
27,17,36M 56S
28,17,36M 56S
30,17,36M 30S
33,17,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,17,35M 29S
35,18,35M 19S
35,19,35M 19S
35,21,34M 56S
35,24,34M 6S
36,24,33M 38S
37,24,33M 38S
37,25,33M 13S
37,26,33M 13S
40,26,32M 19S
40,28,32M 3S
40,30,31M 21S
40,31,28M 55S
42,31,28M 20S
42,34,28M 10S
43,34,27M 57S
43,35,27M 1S
43,38,26M 23S
43,39,26M 0S
43,40,26M 0S
43,43,25M 38S
43,46,25M 11S
45,46,24M 55S
45,49,24M 8S
47,49,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,49,23M 32S
49,50,22M 48S
49,51,22M 48S
51,51,22M 36S
51,54,22M 22S
53,54,22M 8S
Jump ball: A. Edwards vs. M. Conley (J. Okogie gains possession),NA,21M 32S
55,54,21M 12S
55,56,20M 48S
56,56,20M 33S
57,56,20M 33S
57,58,20M 14S
59,58,19M 47S
59,60,19M 27S
59,63,18M 55S
59,65,18M 28S
59,67,17M 59S
60,67,17M 36S
61,67,17M 36S
61,69,17M 1S
61,71,16M 5S
62,71,15M 59S
63,71,15M 59S
65,71,15M 27S
65,74,14M 39S
68,74,13M 53S
68,76,13M 40S
68,77,13M 15S
68,78,13M 15S
70,78,12M 58S
70,81,12M 49S
70,83,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,83,11M 41S
73,85,11M 16S
76,85,10M 55S
76,87,10M 10S
78,87,9M 42S
78,89,9M 24S
78,90,9M 24S
81,90,9M 1S
83,90,8M 3S
83,92,7M 48S
86,92,7M 35S
86,94,7M 15S
86,95,7M 15S
87,95,6M 54S
87,97,5M 59S
89,97,5M 39S
92,97,5M 2S
95,97,3M 35S
97,97,2M 52S
97,100,2M 29S
97,102,1M 48S
98,102,1M 38S
100,102,18S
100,103,15S
101,103,12S
104,103,6S
104,105,4S
End of 4th quarter,NA,0S
