New Orleans,Orlando,time_rem
26-33,18-41,48M 0S
0,0,47M 41S
0,2,47M 22S
2,2,46M 47S
2,5,46M 23S
4,5,46M 14S
5,5,46M 14S
5,8,45M 39S
7,8,45M 23S
10,8,44M 58S
10,10,44M 28S
13,10,44M 7S
13,12,43M 52S
15,12,42M 55S
15,14,41M 54S
17,14,41M 12S
19,14,40M 40S
19,16,40M 15S
19,17,40M 15S
21,17,39M 15S
22,17,39M 15S
22,19,38M 57S
24,19,38M 35S
25,19,38M 35S
27,19,38M 8S
27,21,37M 52S
27,23,37M 24S
27,24,36M 41S
27,25,36M 41S
27,27,36M 21S
29,27,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,30,35M 43S
31,30,35M 21S
31,31,35M 1S
31,32,35M 1S
33,32,34M 43S
35,32,34M 26S
37,32,34M 0S
39,32,33M 35S
40,32,33M 35S
40,34,33M 9S
41,34,32M 57S
42,34,32M 57S
42,35,32M 44S
42,37,32M 25S
44,37,32M 5S
46,37,31M 25S
48,37,31M 8S
50,37,30M 21S
52,37,29M 56S
52,40,29M 32S
53,40,29M 12S
54,40,29M 12S
57,40,28M 8S
57,42,27M 53S
60,42,27M 40S
60,44,27M 21S
62,44,27M 8S
65,44,26M 48S
65,46,26M 22S
65,49,25M 43S
67,49,25M 35S
68,49,25M 35S
69,49,25M 3S
70,49,25M 3S
70,52,24M 51S
71,52,24M 33S
72,52,24M 33S
74,52,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
74,54,23M 47S
76,54,23M 26S
76,56,23M 7S
77,56,22M 34S
79,56,22M 0S
Jump ball: M. Bamba vs. J. Hayes (C. Anthony gains possession),NA,21M 18S
81,56,20M 48S
81,59,20M 33S
83,59,20M 15S
85,59,19M 45S
88,59,19M 14S
88,60,19M 3S
88,61,19M 3S
91,61,18M 50S
94,61,18M 25S
94,64,17M 50S
97,64,17M 32S
99,64,16M 20S
101,64,15M 42S
103,64,15M 4S
106,64,14M 30S
106,66,13M 36S
108,66,13M 10S
108,68,12M 48S
108,70,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
108,72,11M 19S
110,72,11M 4S
110,73,10M 24S
110,74,10M 24S
110,77,8M 49S
112,77,8M 33S
112,79,8M 13S
112,82,7M 46S
113,82,7M 30S
114,82,7M 30S
114,83,7M 16S
114,84,7M 16S
114,87,6M 54S
116,87,6M 42S
117,87,6M 22S
118,87,6M 19S
119,87,6M 19S
119,88,6M 1S
120,88,4M 49S
121,88,4M 49S
121,90,4M 35S
123,90,3M 49S
125,90,3M 13S
128,90,2M 50S
128,91,2M 41S
128,92,2M 41S
130,92,2M 27S
130,95,2M 11S
131,95,1M 38S
132,95,1M 38S
132,97,57S
135,97,43S
135,100,29S
End of 4th quarter,NA,0S
