LA Clippers,Philadelphia,time_rem
39-19,39-17,48M 0S
0,3,47M 36S
0,5,46M 51S
3,5,46M 36S
3,8,46M 28S
3,10,45M 44S
3,11,45M 21S
3,12,45M 21S
3,15,44M 59S
3,17,44M 35S
3,20,44M 10S
4,20,42M 35S
5,20,42M 35S
8,20,41M 6S
8,21,40M 56S
10,21,40M 36S
11,21,40M 36S
11,23,39M 49S
13,23,39M 23S
13,26,39M 6S
13,28,38M 26S
15,28,38M 12S
18,28,37M 23S
20,28,37M 6S
20,31,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,31,35M 37S
22,33,35M 16S
25,33,34M 49S
28,33,32M 59S
28,36,32M 46S
28,38,32M 6S
28,41,31M 32S
29,41,31M 6S
29,43,30M 37S
32,43,29M 54S
32,44,29M 36S
32,45,29M 36S
32,46,28M 35S
32,47,28M 35S
33,47,28M 2S
34,47,28M 2S
34,49,27M 51S
36,49,27M 21S
36,50,27M 20S
37,50,26M 46S
37,53,26M 29S
40,53,26M 8S
40,55,25M 46S
42,55,25M 31S
Jump ball: P. Patterson vs. J. Embiid (P. George gains possession),NA,25M 19S
42,56,25M 8S
44,56,24M 45S
44,59,24M 30S
47,59,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,59,23M 49S
49,62,23M 35S
51,62,23M 20S
51,65,23M 7S
54,65,22M 10S
54,67,20M 58S
57,67,20M 50S
60,67,20M 27S
60,69,20M 7S
60,71,19M 38S
62,71,18M 49S
65,71,16M 16S
65,73,15M 54S
67,73,15M 34S
70,73,14M 50S
70,75,14M 33S
70,76,14M 33S
72,76,14M 15S
72,78,13M 58S
72,79,13M 33S
74,79,13M 11S
74,80,12M 51S
74,81,12M 51S
77,81,12M 36S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,81,11M 24S
80,84,10M 31S
80,86,9M 24S
83,86,8M 51S
83,88,8M 34S
84,88,8M 9S
87,88,7M 43S
87,90,7M 30S
88,90,7M 21S
91,90,7M 14S
91,92,6M 51S
92,92,6M 0S
Jump ball: D. Green vs. T. Mann (S. Milton gains possession),NA,5M 16S
94,92,4M 56S
94,93,4M 35S
94,94,3M 49S
94,97,3M 38S
94,98,3M 16S
94,99,3M 16S
96,99,2M 5S
96,100,1M 48S
96,101,1M 48S
98,101,53S
98,103,47S
98,104,47S
100,104,47S
103,104,21S
103,105,9S
103,106,9S
End of 4th quarter,NA,0S
