LA Clippers,Dallas,time_rem
1-2,2-1,48M 0S
0,0,47M 36S
0,2,47M 1S
0,5,46M 26S
0,8,45M 47S
0,11,45M 25S
2,11,45M 14S
2,14,45M 5S
3,14,44M 53S
4,14,44M 53S
6,14,44M 31S
6,16,44M 24S
6,17,44M 24S
6,20,43M 37S
8,20,43M 13S
8,23,42M 30S
8,26,41M 48S
11,26,41M 28S
11,28,41M 6S
11,30,40M 38S
13,30,40M 25S
15,30,39M 54S
17,30,39M 4S
20,30,38M 49S
22,30,38M 22S
25,30,37M 57S
25,32,37M 38S
27,32,37M 24S
28,32,36M 40S
29,32,36M 40S
31,32,36M 27S
31,34,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,34,35M 44S
33,37,35M 28S
36,37,35M 13S
36,40,34M 51S
38,40,34M 31S
38,42,34M 17S
40,42,32M 46S
40,43,32M 10S
40,44,32M 10S
42,44,31M 36S
45,44,30M 56S
45,47,30M 36S
47,47,30M 20S
47,50,30M 10S
49,50,29M 54S
51,50,28M 59S
53,50,28M 34S
53,51,28M 20S
53,52,28M 20S
55,52,28M 3S
55,55,27M 41S
57,55,26M 32S
57,57,26M 15S
60,57,24M 56S
60,59,24M 35S
63,59,24M 30S
63,61,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,61,23M 43S
65,63,23M 16S
67,63,22M 37S
67,66,22M 20S
69,66,21M 55S
69,69,21M 33S
70,69,21M 7S
71,69,21M 7S
72,69,21M 7S
72,71,20M 52S
72,72,20M 52S
74,72,20M 30S
74,75,20M 17S
76,75,20M 6S
77,75,19M 40S
78,75,19M 40S
79,75,18M 23S
80,75,18M 23S
80,77,18M 11S
82,77,17M 53S
84,77,17M 27S
84,79,16M 50S
84,81,16M 22S
86,81,16M 7S
86,83,15M 48S
86,84,15M 48S
87,84,14M 22S
89,84,13M 46S
89,85,13M 25S
89,86,13M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,86,10M 40S
92,89,9M 47S
94,89,8M 55S
94,91,8M 13S
97,91,7M 56S
97,94,7M 21S
100,94,7M 1S
102,94,6M 23S
102,95,6M 2S
105,95,5M 46S
105,97,5M 31S
107,97,5M 13S
107,100,4M 58S
108,100,4M 43S
109,100,4M 43S
112,100,3M 33S
112,101,3M 33S
112,102,2M 52S
115,102,1M 59S
115,105,1M 51S
116,105,1M 33S
117,105,1M 33S
117,108,1M 24S
118,108,1M 5S
End of 4th quarter,NA,0S
