Dallas,Detroit,time_rem
35-27,19-44,48M 0S
2,0,47M 35S
2,2,47M 15S
4,2,46M 22S
4,5,46M 8S
4,8,45M 45S
4,10,45M 13S
6,10,44M 56S
7,10,44M 56S
7,13,44M 39S
10,13,44M 27S
10,15,44M 7S
13,15,43M 54S
16,15,43M 2S
16,16,42M 21S
16,17,42M 21S
19,17,42M 5S
19,19,41M 31S
19,20,41M 7S
19,22,40M 41S
21,22,40M 14S
22,22,37M 44S
23,22,37M 44S
23,24,37M 28S
26,24,36M 54S
26,26,36M 17S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,28,34M 48S
28,28,34M 28S
28,30,34M 19S
28,31,33M 50S
28,32,33M 50S
31,32,33M 33S
33,32,32M 8S
34,32,31M 31S
34,34,31M 12S
37,34,30M 59S
37,35,30M 53S
37,37,30M 46S
37,38,30M 46S
39,38,30M 32S
41,38,29M 56S
42,38,29M 35S
43,38,29M 35S
43,40,29M 17S
46,40,28M 54S
46,41,28M 40S
46,43,28M 31S
49,43,28M 8S
49,45,27M 49S
49,48,27M 31S
51,48,27M 19S
51,49,27M 0S
53,49,26M 44S
53,52,26M 19S
54,52,25M 15S
55,52,25M 15S
55,53,25M 3S
56,53,24M 55S
57,53,24M 55S
58,53,24M 55S
58,54,24M 36S
60,54,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,55,23M 20S
60,56,23M 20S
62,56,23M 0S
62,58,22M 46S
64,58,22M 16S
66,58,21M 32S
66,59,21M 19S
68,59,21M 5S
69,59,21M 5S
69,61,20M 46S
71,61,20M 32S
71,63,20M 20S
71,64,19M 24S
71,65,19M 24S
71,68,19M 9S
74,68,18M 49S
74,70,17M 53S
74,71,17M 53S
77,71,17M 44S
77,73,16M 47S
79,73,16M 3S
79,76,15M 40S
79,78,15M 9S
79,79,14M 28S
81,79,13M 35S
81,81,13M 18S
84,81,12M 59S
86,81,12M 33S
86,83,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,84,11M 6S
86,85,11M 6S
88,85,10M 54S
88,86,10M 36S
88,87,10M 36S
88,90,10M 6S
90,90,7M 40S
90,92,7M 3S
91,92,6M 3S
92,92,6M 3S
92,94,5M 48S
94,94,5M 32S
94,96,5M 16S
96,96,5M 1S
98,96,4M 35S
98,99,3M 46S
99,99,3M 20S
100,99,3M 20S
101,99,3M 20S
101,102,3M 7S
102,102,2M 46S
103,102,2M 46S
104,102,2M 46S
104,104,2M 25S
106,104,2M 9S
106,105,1M 19S
109,105,1M 4S
111,105,37S
113,105,20S
114,105,8S
115,105,8S
End of 4th quarter,NA,0S
