Charlotte,Atlanta,time_rem
3-5,4-4,48M 0S
0,0,47M 34S
3,0,46M 32S
6,0,45M 14S
6,2,44M 32S
8,2,43M 50S
8,4,43M 33S
9,4,43M 15S
10,4,43M 15S
12,4,41M 37S
12,6,41M 25S
14,6,41M 7S
17,6,40M 18S
19,6,39M 32S
20,6,39M 32S
20,9,38M 38S
23,9,36M 48S
24,9,36M 14S
25,9,36M 14S
25,11,36M 2S
27,11,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,11,35M 41S
29,11,35M 41S
31,11,34M 42S
31,12,34M 26S
31,13,34M 26S
31,15,33M 52S
31,17,33M 33S
32,17,32M 55S
33,17,32M 55S
33,20,31M 56S
34,20,31M 42S
35,20,31M 42S
35,21,31M 18S
35,22,31M 18S
37,22,30M 59S
37,24,30M 20S
39,24,30M 8S
39,26,29M 47S
39,28,28M 57S
42,28,28M 47S
45,28,28M 26S
45,30,28M 10S
48,30,27M 51S
48,33,27M 34S
50,33,27M 10S
50,34,26M 55S
50,35,26M 55S
53,35,26M 25S
55,35,26M 2S
56,35,25M 50S
57,35,25M 50S
59,35,25M 0S
59,37,24M 42S
59,40,24M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,41,23M 8S
59,42,23M 8S
62,42,22M 59S
62,44,22M 44S
64,44,22M 21S
64,45,22M 9S
64,46,22M 9S
64,47,21M 35S
64,48,21M 35S
64,49,21M 35S
66,49,21M 22S
66,51,20M 51S
66,53,19M 17S
68,53,18M 51S
70,53,18M 31S
71,53,18M 31S
73,53,17M 39S
73,55,17M 0S
73,57,16M 9S
74,57,15M 55S
74,60,15M 38S
74,62,14M 55S
74,64,14M 25S
77,64,14M 12S
77,66,13M 16S
78,66,13M 1S
79,66,13M 1S
79,67,12M 7S
81,67,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,67,11M 18S
83,67,11M 18S
83,69,10M 49S
83,72,10M 23S
83,74,9M 39S
83,76,9M 17S
85,76,9M 6S
85,78,8M 43S
85,81,7M 22S
Jump ball: T. Rozier vs. B. Goodwin (M. Bridges gains possession),NA,6M 46S
85,83,6M 1S
85,85,5M 22S
85,86,5M 22S
87,86,4M 34S
89,86,3M 55S
90,86,3M 55S
91,86,3M 16S
92,86,3M 16S
92,88,2M 32S
95,88,2M 18S
95,90,1M 55S
97,90,1M 32S
97,92,47S
98,92,44S
99,92,21S
100,92,10S
101,92,10S
101,94,10S
102,94,8S
End of 4th quarter,NA,0S
