Washington,Milwaukee,time_rem
30-36,42-24,48M 0S
0,0,47M 41S
0,3,47M 28S
0,5,47M 4S
2,5,46M 46S
Jump ball: B. Beal vs. P. Tucker (R. Westbrook gains possession),NA,46M 26S
4,5,46M 16S
4,8,46M 5S
6,8,45M 18S
7,8,44M 38S
10,8,44M 28S
12,8,44M 3S
14,8,43M 28S
14,10,43M 14S
16,10,42M 57S
19,10,42M 30S
19,13,42M 11S
21,13,41M 58S
21,15,41M 24S
23,15,41M 16S
24,15,41M 16S
24,18,40M 35S
26,18,40M 23S
26,19,40M 11S
26,20,40M 11S
27,20,39M 57S
28,20,39M 57S
28,22,39M 43S
30,22,39M 31S
31,22,39M 13S
31,24,38M 49S
31,26,38M 28S
33,26,38M 13S
35,26,37M 52S
35,27,37M 0S
35,29,36M 36S
37,29,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,29,35M 35S
40,30,35M 15S
40,31,35M 15S
42,31,34M 58S
42,32,34M 35S
42,35,33M 41S
42,37,33M 22S
44,37,32M 49S
45,37,32M 49S
47,37,32M 34S
47,40,32M 15S
49,40,31M 57S
49,43,31M 37S
49,46,31M 7S
51,46,30M 53S
51,49,30M 37S
53,49,30M 26S
54,49,30M 26S
54,51,30M 8S
54,52,30M 8S
56,52,29M 56S
56,53,29M 44S
56,54,29M 44S
58,54,29M 33S
59,54,29M 33S
59,56,29M 14S
60,56,28M 56S
61,56,28M 26S
62,56,28M 26S
62,58,28M 13S
62,59,28M 10S
62,60,28M 10S
64,60,27M 51S
64,63,27M 40S
67,63,27M 28S
68,63,27M 4S
68,65,26M 25S
69,65,26M 2S
69,66,25M 51S
69,69,24M 44S
69,71,24M 15S
71,71,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
71,73,23M 17S
73,73,23M 3S
73,75,21M 59S
74,75,21M 52S
74,78,21M 41S
74,80,21M 3S
77,80,20M 35S
77,82,20M 19S
79,82,19M 20S
80,82,19M 5S
82,82,18M 22S
82,84,18M 6S
82,85,18M 6S
82,87,17M 12S
83,87,17M 2S
85,87,16M 54S
85,89,16M 37S
87,89,16M 27S
88,89,16M 12S
89,89,16M 12S
89,91,15M 31S
91,91,15M 5S
91,92,14M 48S
91,93,14M 48S
93,93,14M 35S
93,96,14M 21S
93,99,13M 16S
94,99,13M 2S
95,99,13M 2S
95,101,12M 40S
95,103,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,103,11M 46S
98,103,11M 17S
99,103,11M 17S
100,103,11M 17S
102,103,10M 51S
104,103,10M 5S
106,103,9M 26S
106,105,9M 10S
107,105,8M 53S
108,105,8M 53S
108,107,8M 37S
108,109,8M 21S
108,110,7M 57S
108,111,7M 57S
108,113,7M 14S
109,113,7M 4S
109,115,6M 57S
109,116,6M 57S
111,116,6M 44S
111,119,6M 35S
112,119,6M 23S
115,119,6M 14S
117,119,5M 46S
118,119,5M 25S
119,119,5M 25S
119,120,5M 10S
119,121,5M 10S
120,121,4M 58S
121,121,4M 46S
121,123,4M 0S
122,123,3M 47S
122,124,3M 36S
124,124,3M 13S
124,127,2M 23S
126,127,1M 39S
126,130,1M 26S
128,130,1M 15S
128,133,1M 4S
131,133,57S
131,135,6S
134,135,5S
End of 4th quarter,NA,0S
