Minnesota,New Orleans,time_rem
8-29,15-22,48M 0S
0,0,47M 47S
0,2,47M 10S
2,2,46M 46S
2,4,46M 27S
4,4,46M 11S
Jump ball: K. Towns vs. S. Adams (R. Rubio gains possession),NA,45M 36S
4,5,45M 29S
4,7,45M 0S
4,9,44M 35S
4,11,44M 2S
4,13,43M 28S
6,13,43M 20S
6,16,43M 6S
6,18,42M 29S
6,19,42M 29S
6,20,42M 7S
7,20,41M 53S
8,20,41M 53S
8,22,41M 32S
8,24,41M 5S
10,24,40M 14S
10,25,40M 3S
10,26,40M 3S
12,26,39M 47S
14,26,39M 8S
14,28,38M 45S
15,28,38M 30S
16,28,38M 30S
18,28,38M 5S
21,28,37M 45S
21,29,37M 28S
21,30,37M 28S
21,32,37M 14S
23,32,36M 58S
25,32,36M 28S
25,34,36M 8S
27,34,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,36,35M 34S
27,39,35M 14S
29,39,35M 1S
30,39,34M 32S
31,39,34M 32S
31,40,34M 15S
31,41,34M 15S
34,41,34M 5S
34,43,33M 44S
36,43,33M 30S
39,43,33M 6S
39,45,32M 44S
41,45,32M 11S
41,46,31M 59S
44,46,31M 47S
46,46,31M 16S
48,46,30M 47S
48,48,30M 29S
51,48,30M 3S
53,48,29M 42S
53,50,29M 5S
53,53,28M 45S
55,53,28M 28S
57,53,28M 2S
57,54,27M 8S
60,54,26M 48S
60,56,26M 26S
62,56,26M 12S
62,58,25M 49S
62,60,25M 13S
64,60,24M 44S
67,60,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,63,23M 33S
70,63,23M 8S
73,63,22M 31S
75,63,22M 7S
75,66,21M 52S
78,66,20M 44S
78,68,20M 31S
78,70,19M 33S
79,70,19M 15S
80,70,19M 15S
82,70,18M 49S
83,70,18M 49S
85,70,18M 20S
88,70,17M 55S
89,70,16M 55S
89,72,16M 28S
89,74,15M 42S
91,74,15M 30S
94,74,14M 48S
94,76,14M 31S
94,78,14M 10S
97,78,13M 44S
97,80,13M 26S
100,80,13M 17S
102,80,12M 44S
102,82,12M 36S
105,82,12M 18S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
105,84,11M 25S
107,84,11M 12S
107,86,10M 57S
107,87,10M 57S
110,87,10M 19S
110,89,8M 58S
112,89,8M 45S
112,91,8M 36S
115,91,8M 24S
117,91,7M 39S
119,91,7M 25S
120,91,6M 58S
121,91,6M 58S
121,94,5M 50S
121,96,5M 36S
Jump ball: W. Hernangómez vs. N. Reid (S. Thornwell gains possession),NA,5M 11S
Jump ball: W. Hernangómez vs. N. Reid (N. Melli gains possession),NA,4M 55S
123,96,4M 3S
123,98,3M 26S
123,99,3M 26S
124,99,3M 17S
125,99,3M 17S
127,99,3M 8S
129,99,2M 31S
129,101,2M 5S
132,101,1M 48S
132,103,49S
135,103,39S
135,105,31S
End of 4th quarter,NA,0S
