Orlando,Golden State,time_rem
9-17,14-12,48M 0S
0,0,47M 43S
0,2,47M 33S
2,2,46M 39S
2,5,45M 47S
4,5,45M 1S
4,7,44M 48S
4,9,43M 43S
4,12,42M 1S
6,12,41M 40S
6,14,41M 2S
6,17,40M 38S
8,17,40M 25S
9,17,40M 25S
12,17,39M 54S
14,17,38M 28S
14,20,38M 12S
16,20,37M 51S
16,23,37M 27S
16,26,37M 4S
16,29,36M 34S
19,29,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,29,35M 33S
22,29,35M 19S
22,32,34M 55S
22,35,34M 27S
24,35,33M 8S
27,35,32M 8S
28,35,31M 30S
29,35,31M 30S
31,35,30M 52S
32,35,30M 17S
35,35,29M 16S
35,37,28M 54S
38,37,28M 42S
40,37,28M 6S
40,40,27M 48S
Jump ball: E. Paschall vs. C. Okeke (K. Oubre gains possession),NA,27M 26S
43,40,27M 8S
43,42,26M 52S
44,42,26M 38S
46,42,26M 30S
47,42,25M 56S
48,42,25M 56S
48,43,25M 45S
48,44,25M 45S
48,47,25M 24S
50,47,25M 6S
53,47,24M 45S
54,47,24M 32S
55,47,24M 32S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,47,23M 18S
58,50,22M 43S
58,52,22M 15S
58,55,21M 52S
58,58,21M 11S
60,58,20M 41S
60,60,20M 18S
62,60,20M 2S
62,61,19M 52S
64,61,19M 30S
66,61,19M 8S
66,64,18M 51S
66,65,18M 28S
66,66,18M 28S
68,66,18M 7S
68,69,17M 46S
68,71,17M 28S
70,71,17M 10S
72,71,16M 43S
75,71,16M 24S
75,73,16M 13S
76,73,15M 48S
77,73,15M 48S
78,73,15M 3S
78,75,14M 17S
78,77,13M 55S
78,80,13M 13S
80,80,12M 57S
80,82,12M 37S
80,84,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,84,11M 18S
83,86,11M 6S
86,86,10M 1S
88,86,9M 26S
91,86,8M 49S
91,88,8M 19S
91,90,7M 55S
91,92,7M 31S
91,95,6M 44S
91,97,5M 50S
91,100,4M 10S
91,102,3M 47S
94,102,3M 35S
94,105,2M 49S
94,106,1M 56S
94,107,1M 56S
97,107,1M 46S
99,107,1M 12S
99,109,58S
101,109,30S
102,109,30S
105,109,16S
105,110,12S
105,111,12S
End of 4th quarter,NA,0S
