Memphis,Washington,time_rem
16-15,13-20,48M 0S
0,0,47M 44S
0,2,47M 38S
0,3,47M 38S
2,3,47M 24S
4,3,46M 57S
5,3,46M 57S
5,6,46M 44S
5,8,46M 16S
8,8,46M 5S
8,10,45M 19S
10,10,45M 4S
10,12,44M 50S
10,13,44M 32S
10,15,44M 11S
10,18,43M 41S
11,18,43M 27S
12,18,43M 27S
14,18,43M 2S
17,18,42M 27S
17,21,42M 9S
19,21,41M 36S
21,21,40M 41S
21,22,40M 28S
21,23,40M 28S
23,23,40M 14S
25,23,39M 54S
28,23,39M 35S
28,24,39M 14S
28,25,39M 14S
28,27,38M 46S
30,27,38M 33S
30,28,37M 45S
30,31,37M 35S
30,33,36M 43S
33,33,36M 32S
34,33,36M 2S
35,33,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,34,35M 50S
35,36,35M 44S
35,38,33M 48S
37,38,33M 30S
39,38,32M 59S
39,40,32M 22S
39,42,31M 47S
39,44,31M 26S
42,44,30M 59S
42,46,30M 42S
43,46,30M 35S
44,46,30M 35S
44,48,30M 20S
46,48,30M 0S
48,48,29M 36S
50,48,29M 12S
52,48,28M 56S
52,50,28M 41S
55,50,28M 24S
58,50,28M 3S
60,50,27M 32S
60,51,27M 12S
60,52,27M 12S
62,52,26M 56S
64,52,25M 44S
66,52,25M 26S
69,52,24M 33S
69,54,24M 28S
71,54,24M 6S
71,56,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
71,58,23M 33S
71,59,23M 2S
71,60,23M 2S
71,62,22M 6S
74,62,21M 22S
74,64,21M 6S
75,64,20M 26S
76,64,20M 26S
78,64,19M 54S
78,65,19M 46S
78,66,19M 46S
80,66,19M 27S
82,66,19M 14S
84,66,18M 45S
86,66,17M 49S
86,68,17M 44S
87,68,17M 28S
88,68,16M 38S
90,68,16M 11S
90,70,15M 41S
93,70,14M 55S
93,73,14M 43S
96,73,13M 39S
96,76,13M 23S
96,78,12M 54S
Jump ball: A. Len vs. X. Tillman (R. Westbrook gains possession),NA,12M 24S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,80,10M 44S
96,81,10M 44S
98,81,10M 30S
98,84,10M 22S
100,84,10M 8S
100,86,9M 51S
102,86,9M 32S
102,87,9M 27S
102,88,8M 44S
102,91,7M 49S
103,91,7M 31S
103,93,6M 31S
105,93,6M 5S
106,93,5M 43S
107,93,5M 43S
107,95,5M 32S
109,95,5M 11S
109,97,5M 1S
112,97,4M 26S
112,100,4M 6S
114,100,3M 45S
114,103,3M 35S
116,103,3M 17S
116,104,3M 4S
116,106,2M 47S
117,106,2M 25S
118,106,2M 25S
120,106,2M 0S
120,109,1M 37S
121,109,1M 15S
122,109,1M 15S
125,109,43S
125,111,24S
End of 4th quarter,NA,0S
