Dallas,Utah,time_rem
8-11,15-4,48M 0S
0,0,47M 43S
0,1,47M 16S
0,3,46M 49S
1,3,45M 40S
4,3,45M 9S
4,5,44M 50S
4,8,44M 31S
6,8,43M 57S
6,10,43M 46S
6,12,43M 14S
6,15,42M 45S
6,18,42M 15S
9,18,41M 51S
9,21,41M 0S
9,24,40M 37S
10,24,40M 9S
11,24,40M 9S
11,26,39M 46S
11,29,38M 21S
11,31,37M 43S
11,34,36M 56S
11,37,36M 33S
12,37,36M 21S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
14,37,35M 37S
16,37,34M 59S
16,39,34M 25S
16,42,33M 59S
19,42,33M 35S
19,44,33M 18S
21,44,32M 1S
21,45,31M 48S
21,46,31M 48S
23,46,31M 33S
23,47,31M 11S
23,48,31M 11S
26,48,30M 53S
28,48,30M 31S
30,48,29M 41S
30,51,28M 59S
32,51,28M 26S
34,51,27M 49S
36,51,27M 18S
36,52,26M 46S
36,53,26M 46S
37,53,26M 34S
38,53,26M 34S
40,53,26M 3S
40,55,25M 47S
40,56,25M 47S
42,56,24M 57S
42,57,24M 48S
42,58,24M 48S
43,58,24M 28S
43,61,24M 8S
45,61,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,63,23M 21S
45,64,23M 21S
45,67,21M 55S
45,68,21M 15S
45,69,21M 15S
47,69,21M 1S
47,70,20M 49S
47,71,20M 49S
49,71,20M 23S
49,72,20M 4S
49,73,20M 4S
51,73,19M 53S
51,76,19M 20S
54,76,18M 40S
54,78,18M 18S
55,78,18M 2S
56,78,18M 2S
56,81,17M 39S
57,81,17M 22S
57,84,17M 4S
60,84,16M 45S
60,87,15M 48S
62,87,15M 33S
62,89,15M 19S
62,90,15M 19S
62,91,14M 48S
62,92,14M 48S
65,92,14M 13S
68,92,13M 28S
68,94,13M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
70,94,11M 22S
70,97,10M 51S
71,97,10M 41S
72,97,10M 41S
73,97,10M 1S
74,97,10M 1S
76,97,9M 39S
76,99,9M 23S
78,99,9M 11S
78,100,8M 31S
78,101,8M 31S
79,101,7M 59S
81,101,7M 36S
84,101,7M 10S
86,101,6M 37S
86,103,6M 13S
88,103,6M 1S
89,103,6M 1S
89,104,5M 35S
89,105,5M 35S
89,107,5M 11S
89,110,4M 14S
91,110,3M 53S
91,113,3M 38S
93,113,3M 20S
93,115,3M 3S
93,117,2M 48S
95,117,2M 28S
97,117,1M 41S
97,120,1M 33S
98,120,1M 8S
99,120,1M 8S
101,120,37S
End of 4th quarter,NA,0S
