Chicago,Miami,time_rem
26-35,32-30,48M 0S
0,0,47M 45S
2,0,47M 35S
3,0,47M 35S
3,3,46M 16S
5,3,46M 0S
5,4,45M 33S
5,5,45M 33S
5,6,45M 11S
5,7,45M 11S
5,9,44M 42S
5,11,44M 18S
5,13,43M 53S
7,13,43M 38S
10,13,43M 13S
12,13,42M 41S
12,15,42M 28S
12,17,41M 56S
14,17,41M 12S
16,17,40M 24S
17,17,40M 24S
19,17,39M 7S
19,19,38M 29S
19,21,37M 55S
19,24,36M 32S
20,24,36M 14S
20,26,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,28,35M 38S
22,28,35M 19S
22,31,34M 32S
24,31,34M 17S
26,31,33M 19S
28,31,32M 36S
29,31,31M 51S
30,31,31M 51S
30,33,31M 38S
30,35,31M 11S
30,38,30M 43S
32,38,30M 14S
33,38,30M 14S
33,40,30M 7S
Jump ball: T. Satoranský vs. G. Vincent (N. Vučević gains possession),NA,29M 55S
35,40,29M 39S
35,42,29M 10S
38,42,28M 43S
38,43,28M 28S
41,43,28M 12S
43,43,27M 43S
43,44,27M 31S
43,45,27M 31S
43,47,27M 6S
45,47,26M 45S
45,49,26M 31S
47,49,26M 9S
47,51,25M 55S
49,51,25M 29S
52,51,24M 54S
52,53,24M 41S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,54,23M 47S
52,55,23M 47S
54,55,23M 23S
54,56,22M 9S
54,57,22M 9S
54,59,21M 18S
54,60,21M 17S
56,60,20M 52S
59,60,20M 8S
61,60,19M 30S
61,62,19M 7S
62,62,18M 46S
62,64,18M 32S
62,65,18M 32S
63,65,18M 17S
64,65,18M 17S
66,65,17M 27S
67,65,17M 0S
68,65,17M 0S
68,67,16M 46S
68,68,16M 46S
68,70,15M 47S
68,71,15M 47S
71,71,15M 28S
71,72,15M 19S
71,73,15M 19S
71,74,14M 41S
71,75,14M 41S
71,77,13M 34S
73,77,13M 14S
74,77,12M 36S
74,80,12M 26S
74,82,12M 3S
76,82,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,82,11M 20S
81,82,10M 50S
81,85,10M 40S
81,86,9M 37S
81,87,9M 15S
81,88,9M 15S
83,88,8M 49S
83,90,8M 14S
86,90,8M 3S
89,90,7M 29S
89,92,7M 12S
91,92,6M 56S
92,92,6M 56S
92,94,6M 41S
92,95,6M 41S
95,95,5M 56S
97,95,5M 25S
97,97,5M 1S
99,97,4M 46S
101,97,4M 3S
101,99,3M 9S
104,99,2M 53S
104,102,2M 13S
106,102,1M 49S
107,102,31S
108,102,23S
109,102,14S
110,102,14S
End of 4th quarter,NA,0S
