Phoenix,Dallas,time_rem
10-8,8-12,48M 0S
0,0,47M 45S
0,2,47M 9S
1,2,46M 52S
2,2,46M 52S
3,2,46M 52S
3,5,46M 28S
3,7,46M 1S
5,7,45M 29S
7,7,45M 6S
10,7,44M 23S
13,7,43M 23S
13,9,43M 7S
16,9,42M 18S
16,11,41M 59S
16,14,41M 41S
18,14,41M 20S
19,14,40M 42S
20,14,40M 42S
20,17,40M 26S
22,17,40M 9S
22,19,39M 36S
22,20,39M 4S
23,20,37M 58S
24,20,37M 58S
24,22,37M 43S
27,22,37M 24S
27,24,37M 1S
28,24,36M 44S
29,24,36M 44S
29,26,36M 35S
29,28,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,28,35M 47S
32,30,35M 30S
34,30,35M 19S
36,30,34M 50S
36,32,34M 25S
36,35,34M 4S
37,35,32M 17S
38,35,32M 17S
38,37,31M 40S
38,40,31M 18S
40,40,30M 52S
40,42,30M 37S
40,44,30M 15S
40,46,29M 43S
40,48,29M 11S
42,48,28M 54S
44,48,28M 30S
44,50,28M 15S
45,50,27M 37S
47,50,27M 23S
47,51,26M 54S
49,51,26M 9S
51,51,25M 17S
51,52,24M 57S
51,53,24M 57S
53,53,24M 41S
55,53,24M 6S
55,55,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,57,23M 16S
55,59,22M 42S
55,60,22M 7S
55,63,21M 19S
55,65,20M 53S
55,67,20M 7S
57,67,19M 30S
57,70,19M 8S
58,70,18M 57S
59,70,18M 57S
59,72,18M 41S
59,74,18M 1S
61,74,17M 49S
63,74,16M 57S
65,74,16M 14S
67,74,15M 48S
67,76,15M 5S
68,76,14M 47S
70,76,14M 15S
70,78,14M 2S
70,80,13M 38S
71,80,13M 29S
72,80,13M 29S
73,80,13M 29S
73,81,13M 23S
74,81,13M 9S
75,81,13M 9S
75,82,12M 58S
77,82,12M 45S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,82,11M 29S
82,82,11M 4S
85,82,10M 37S
85,84,10M 30S
85,87,9M 49S
87,87,9M 33S
87,89,7M 59S
90,89,7M 9S
90,91,6M 48S
90,93,5M 14S
92,93,4M 52S
92,94,4M 43S
95,94,4M 28S
96,94,3M 54S
96,96,3M 41S
98,96,3M 25S
100,96,2M 18S
102,96,1M 44S
105,96,1M 5S
105,98,57S
105,100,19S
106,100,17S
107,100,17S
107,102,12S
108,102,9S
109,102,9S
109,105,5S
110,105,3S
111,105,3S
End of 4th quarter,NA,0S
