Denver,New York,time_rem
5-5,5-5,48M 0S
0,0,47M 38S
0,2,47M 15S
3,2,46M 51S
5,2,46M 24S
5,4,46M 1S
8,4,45M 46S
8,5,45M 30S
10,5,44M 50S
10,7,44M 25S
10,10,43M 48S
10,11,43M 21S
10,13,43M 0S
11,13,42M 38S
13,13,42M 8S
14,13,42M 8S
14,16,41M 7S
16,16,40M 45S
19,16,40M 9S
21,16,39M 31S
23,16,38M 54S
23,18,38M 35S
25,18,37M 33S
27,18,36M 59S
28,18,36M 59S
28,21,36M 37S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,21,35M 33S
30,22,35M 20S
32,22,35M 4S
34,22,34M 31S
36,22,34M 4S
38,22,33M 40S
40,22,33M 2S
40,24,30M 52S
43,24,30M 33S
43,26,30M 20S
44,26,29M 8S
44,28,28M 25S
45,28,28M 15S
46,28,28M 15S
46,30,28M 4S
48,30,27M 51S
48,32,27M 36S
50,32,26M 47S
50,34,26M 35S
53,34,26M 19S
53,35,26M 7S
53,36,26M 7S
55,36,25M 40S
58,36,25M 10S
58,38,24M 3S
59,38,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,41,23M 38S
61,41,23M 7S
61,42,22M 27S
63,42,21M 29S
63,44,21M 18S
63,45,20M 25S
63,46,20M 25S
65,46,20M 9S
65,48,19M 58S
68,48,19M 42S
68,50,18M 28S
68,52,16M 54S
68,54,16M 26S
70,54,16M 4S
70,56,15M 42S
73,56,15M 27S
75,56,14M 51S
77,56,14M 29S
77,58,14M 16S
77,59,14M 16S
80,59,13M 52S
80,62,13M 33S
82,62,12M 36S
82,64,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,64,11M 44S
87,64,11M 27S
87,66,11M 7S
87,67,11M 7S
87,68,10M 32S
87,69,10M 32S
87,72,9M 35S
90,72,9M 20S
Jump ball: I. Hartenstein vs. J. Randle (P. Dozier gains possession),NA,8M 52S
92,72,8M 47S
93,72,8M 37S
94,72,8M 37S
97,72,7M 30S
97,74,7M 10S
97,76,5M 32S
99,76,5M 18S
99,78,4M 55S
102,78,4M 29S
105,78,3M 24S
107,78,2M 58S
107,79,2M 53S
107,80,2M 53S
110,80,2M 42S
110,81,2M 1S
110,82,2M 1S
112,82,1M 18S
112,83,1M 9S
112,84,1M 9S
114,84,57S
114,86,45S
114,87,45S
114,89,16S
End of 4th quarter,NA,0S
