Detroit,Indiana,time_rem
18-43,28-31,48M 0S
3,0,47M 40S
3,3,47M 12S
5,3,46M 56S
5,4,46M 32S
5,5,46M 32S
5,7,46M 24S
7,7,46M 12S
7,9,46M 2S
7,11,45M 42S
7,13,44M 9S
9,13,43M 34S
11,13,42M 57S
12,13,42M 28S
13,13,42M 28S
13,16,42M 11S
14,16,41M 47S
14,18,41M 38S
16,18,41M 25S
18,18,40M 55S
18,21,40M 8S
18,23,39M 41S
20,23,39M 31S
20,25,39M 9S
22,25,38M 41S
22,26,38M 30S
22,28,37M 59S
25,28,37M 42S
25,31,37M 15S
25,33,36M 24S
25,34,36M 0S
25,35,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,36,35M 49S
25,38,34M 40S
25,40,34M 18S
27,40,34M 11S
28,40,34M 11S
28,42,33M 32S
30,42,33M 8S
32,42,32M 27S
34,42,31M 51S
36,42,31M 27S
39,42,31M 6S
40,42,30M 5S
40,45,30M 0S
42,45,29M 43S
42,47,28M 52S
43,47,28M 35S
44,47,28M 35S
44,50,28M 12S
45,50,27M 46S
46,50,27M 46S
46,52,27M 31S
49,52,27M 12S
49,53,27M 0S
49,54,27M 0S
49,55,26M 38S
49,56,26M 38S
50,56,26M 20S
51,56,26M 20S
54,56,25M 53S
56,56,25M 26S
57,56,25M 11S
59,56,24M 37S
59,58,24M 24S
61,58,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,60,23M 38S
63,60,23M 12S
63,62,23M 3S
65,62,22M 41S
65,64,22M 22S
67,64,22M 5S
67,66,21M 31S
69,66,21M 7S
69,67,20M 52S
71,67,20M 42S
71,69,20M 17S
73,69,20M 4S
Jump ball: C. LeVert vs. C. Joseph (J. Sampson gains possession),NA,19M 45S
75,69,18M 57S
77,69,18M 40S
77,70,18M 27S
77,71,18M 27S
77,73,17M 58S
77,75,16M 46S
77,77,16M 19S
77,79,15M 41S
80,79,13M 38S
80,80,12M 57S
80,81,12M 57S
80,84,12M 40S
81,84,12M 16S
82,84,12M 16S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,84,11M 38S
84,87,11M 10S
84,89,10M 39S
84,90,10M 20S
86,90,10M 17S
88,90,9M 41S
88,91,7M 53S
88,92,7M 53S
91,92,7M 46S
91,94,7M 28S
94,94,6M 46S
95,94,6M 22S
96,94,6M 22S
96,96,6M 9S
99,96,5M 41S
99,97,5M 22S
101,97,4M 55S
101,99,4M 41S
101,102,4M 6S
101,104,3M 41S
101,107,3M 11S
101,109,2M 42S
102,109,1M 51S
103,109,1M 51S
104,109,1M 15S
105,109,1M 15S
105,110,57S
105,111,28S
106,111,20S
106,112,17S
106,113,17S
109,113,13S
Jump ball: M. Plumlee vs. O. Brissett (C. Joseph gains possession),NA,10S
109,114,1S
109,115,1S
End of 4th quarter,NA,0S
