Indiana,Oklahoma City,time_rem
30-33,21-43,48M 0S
0,0,47M 46S
2,0,47M 30S
4,0,46M 47S
6,0,46M 27S
8,0,46M 5S
8,1,45M 52S
8,2,45M 52S
10,2,45M 37S
11,2,45M 37S
11,4,45M 22S
14,4,45M 12S
16,4,44M 11S
16,6,43M 2S
18,6,42M 55S
19,6,42M 39S
20,6,42M 39S
20,8,42M 13S
20,10,41M 31S
20,12,41M 18S
20,15,40M 29S
23,15,40M 17S
26,15,39M 54S
26,17,39M 43S
27,17,39M 38S
28,17,39M 38S
30,17,39M 25S
30,20,39M 11S
33,20,38M 56S
36,20,38M 5S
36,22,37M 22S
39,22,37M 16S
39,23,37M 6S
42,23,36M 54S
42,25,36M 43S
42,27,36M 22S
42,29,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
44,29,35M 49S
44,31,35M 37S
47,31,35M 20S
50,31,34M 55S
52,31,34M 39S
55,31,34M 9S
55,33,33M 5S
57,33,32M 50S
57,35,32M 38S
59,35,31M 43S
61,35,31M 20S
62,35,31M 20S
64,35,30M 27S
64,37,29M 39S
64,38,29M 39S
66,38,29M 21S
66,40,29M 0S
69,40,28M 47S
69,41,28M 23S
69,43,28M 2S
71,43,27M 28S
71,45,27M 8S
71,46,27M 8S
73,46,26M 28S
75,46,25M 58S
77,46,25M 35S
78,46,25M 35S
80,46,25M 1S
82,46,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
84,46,23M 46S
84,48,23M 33S
87,48,23M 20S
90,48,22M 57S
92,48,22M 32S
93,48,21M 44S
93,49,21M 13S
95,49,20M 59S
96,49,20M 29S
97,49,20M 29S
98,49,20M 2S
98,51,19M 38S
100,51,19M 24S
100,54,19M 3S
102,54,18M 49S
102,56,18M 34S
104,56,18M 26S
104,58,18M 3S
107,58,17M 55S
110,58,17M 21S
110,60,16M 44S
113,60,16M 29S
114,60,15M 47S
117,60,15M 28S
118,60,15M 14S
118,62,14M 58S
119,62,14M 47S
120,62,14M 47S
120,63,14M 34S
120,65,14M 0S
123,65,13M 43S
123,68,13M 11S
123,70,12M 38S
125,70,12M 2S
126,70,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
128,70,11M 29S
128,73,11M 6S
130,73,10M 24S
133,73,9M 9S
133,75,8M 55S
135,75,8M 20S
136,75,8M 20S
136,78,7M 8S
139,78,6M 47S
141,78,6M 29S
141,80,6M 14S
141,82,5M 48S
143,82,5M 30S
145,82,5M 3S
147,82,4M 41S
149,82,4M 12S
149,83,3M 48S
149,84,3M 48S
149,86,3M 23S
149,87,2M 46S
149,89,2M 5S
149,92,1M 18S
152,92,44S
152,95,36S
End of 4th quarter,NA,0S
