New Orleans,Memphis,time_rem
31-38,35-33,48M 0S
0,0,47M 42S
0,2,47M 38S
0,3,47M 16S
0,4,47M 16S
0,5,47M 16S
2,5,46M 56S
4,5,46M 31S
6,5,45M 39S
6,8,45M 24S
7,8,45M 11S
7,10,44M 55S
7,12,44M 27S
9,12,44M 14S
9,14,44M 2S
9,16,43M 39S
11,16,42M 24S
11,18,42M 14S
14,18,41M 59S
14,20,41M 50S
14,23,41M 23S
16,23,41M 10S
16,25,40M 51S
16,26,40M 30S
16,27,40M 30S
16,29,39M 57S
19,29,39M 38S
21,29,39M 3S
21,31,38M 40S
24,31,38M 25S
24,34,37M 29S
26,34,37M 17S
29,34,36M 46S
29,36,36M 28S
31,36,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,36,35M 44S
33,39,35M 25S
36,39,34M 48S
38,39,34M 31S
38,41,33M 35S
40,41,33M 18S
40,43,32M 52S
42,43,32M 30S
42,46,32M 18S
44,46,30M 41S
44,48,30M 23S
45,48,29M 24S
46,48,29M 24S
48,48,29M 8S
48,50,28M 55S
48,51,28M 21S
48,52,28M 21S
50,52,28M 10S
50,54,27M 36S
52,54,27M 25S
52,56,27M 11S
52,59,26M 41S
53,59,26M 28S
53,61,26M 15S
53,63,26M 7S
53,64,26M 7S
54,64,25M 49S
55,64,25M 49S
55,66,25M 30S
57,66,25M 15S
57,68,25M 3S
57,69,24M 32S
57,70,24M 32S
57,71,24M 32S
59,71,24M 14S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,71,23M 44S
61,71,23M 44S
62,71,23M 15S
64,71,22M 55S
66,71,22M 18S
69,71,21M 29S
69,73,21M 15S
70,73,20M 53S
71,73,20M 53S
73,73,20M 15S
74,73,19M 48S
74,74,19M 23S
75,74,19M 6S
76,74,19M 6S
78,74,18M 34S
80,74,17M 58S
80,76,17M 42S
82,76,17M 23S
82,78,17M 8S
84,78,16M 52S
86,78,15M 21S
86,81,14M 56S
86,84,14M 16S
86,86,13M 46S
88,86,12M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,86,10M 47S
91,88,10M 30S
91,90,9M 38S
91,92,9M 28S
91,94,9M 4S
93,94,8M 46S
93,96,8M 32S
95,96,8M 18S
95,98,8M 3S
95,100,7M 25S
95,102,6M 50S
97,102,6M 17S
97,103,5M 47S
97,104,5M 47S
97,106,5M 21S
99,106,4M 52S
102,106,3M 40S
102,107,3M 3S
102,109,2M 47S
104,109,2M 41S
107,109,1M 56S
107,112,1M 32S
110,112,1M 17S
110,114,52S
110,115,5S
End of 4th quarter,NA,0S
