Sacramento,Houston,time_rem
3-3,2-2,48M 0S
0,0,47M 44S
2,0,47M 41S
2,3,47M 20S
2,6,46M 52S
3,6,46M 32S
4,6,46M 32S
4,8,46M 2S
6,8,45M 24S
8,8,45M 11S
8,11,44M 29S
10,11,44M 9S
13,11,43M 51S
13,14,43M 40S
15,14,43M 24S
15,16,43M 10S
17,16,42M 51S
19,16,42M 4S
19,17,41M 28S
19,18,41M 28S
19,19,41M 0S
22,19,40M 49S
22,21,40M 34S
22,23,40M 14S
25,23,39M 58S
27,23,39M 21S
27,26,39M 7S
27,27,38M 42S
27,28,38M 42S
29,28,38M 15S
29,29,38M 5S
29,30,38M 5S
31,30,37M 52S
32,30,37M 52S
32,32,37M 29S
34,32,37M 15S
34,33,37M 0S
35,33,36M 52S
36,33,36M 45S
36,36,36M 34S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,38,35M 44S
39,38,35M 28S
39,40,34M 55S
39,42,34M 30S
40,42,34M 16S
41,42,34M 16S
41,45,34M 1S
41,46,33M 30S
41,48,32M 50S
43,48,32M 8S
45,48,31M 41S
47,48,30M 31S
47,49,29M 54S
47,51,29M 16S
49,51,28M 50S
49,53,28M 42S
51,53,28M 20S
51,55,28M 4S
52,55,27M 50S
53,55,27M 50S
56,55,27M 18S
56,57,26M 53S
58,57,26M 42S
59,57,26M 42S
62,57,26M 2S
62,58,25M 49S
62,60,25M 25S
64,60,25M 15S
64,61,24M 57S
64,64,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,67,23M 47S
64,70,23M 2S
67,70,22M 44S
67,72,21M 28S
69,72,21M 9S
70,72,20M 32S
70,75,20M 13S
73,75,19M 37S
73,77,19M 27S
73,79,19M 8S
75,79,18M 11S
75,81,17M 10S
76,81,16M 54S
Jump ball: R. Holmes vs. J. Tate (D. Fox gains possession),NA,15M 28S
76,83,14M 56S
78,83,13M 57S
79,83,12M 50S
81,83,12M 33S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,86,11M 33S
81,89,10M 13S
81,90,9M 30S
81,91,9M 30S
81,92,9M 30S
83,92,8M 23S
Jump ball: P. Tucker vs. R. Holmes (R. Holmes gains possession),NA,5M 44S
83,94,4M 54S
83,96,4M 18S
85,96,3M 23S
85,97,2M 31S
85,98,2M 31S
87,98,2M 11S
88,98,1M 25S
89,98,1M 25S
91,98,54S
91,100,46S
91,102,19S
94,102,12S
End of 4th quarter,NA,0S
