Toronto,Portland,time_rem
2-8,6-4,48M 0S
0,0,47M 43S
2,0,47M 36S
4,0,46M 1S
4,2,45M 23S
5,2,44M 40S
6,2,44M 40S
6,5,44M 23S
8,5,44M 11S
8,8,43M 32S
10,8,43M 5S
13,8,42M 24S
16,8,41M 46S
18,8,41M 21S
18,11,41M 0S
21,11,40M 6S
23,11,39M 14S
24,11,39M 14S
24,13,38M 58S
24,14,38M 23S
24,15,38M 23S
27,15,38M 2S
27,17,37M 45S
30,17,37M 12S
30,19,37M 0S
30,20,36M 20S
30,21,36M 20S
32,21,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,22,35M 33S
32,23,35M 33S
35,23,35M 21S
35,25,34M 59S
38,25,34M 11S
38,28,33M 28S
40,28,32M 44S
40,31,32M 39S
43,31,32M 27S
43,33,32M 6S
44,33,31M 53S
45,33,31M 53S
46,33,31M 53S
46,35,31M 25S
49,35,31M 14S
52,35,30M 53S
52,38,30M 12S
52,40,29M 43S
54,40,29M 19S
54,43,28M 21S
56,43,27M 38S
58,43,26M 52S
58,45,26M 31S
58,46,25M 54S
58,48,25M 28S
58,49,25M 28S
60,49,24M 40S
60,50,24M 33S
60,51,24M 33S
60,53,24M 2S
60,54,24M 2S
60,55,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,57,23M 36S
60,58,23M 3S
60,59,23M 3S
60,61,22M 28S
63,61,22M 7S
66,61,21M 39S
68,61,21M 19S
69,61,20M 46S
70,61,20M 46S
72,61,19M 27S
72,62,19M 11S
72,64,19M 7S
72,67,18M 29S
74,67,17M 30S
74,69,17M 12S
74,70,17M 12S
76,70,16M 50S
78,70,16M 23S
78,72,16M 5S
80,72,15M 8S
80,74,14M 59S
83,74,14M 32S
83,76,13M 53S
86,76,12M 49S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,76,11M 26S
88,76,11M 26S
88,78,11M 11S
91,78,10M 48S
91,79,10M 13S
91,80,10M 13S
93,80,9M 59S
93,82,9M 42S
96,82,9M 32S
96,85,9M 16S
97,85,8M 39S
98,85,8M 39S
98,87,8M 2S
98,90,7M 47S
101,90,7M 33S
101,92,7M 11S
101,93,7M 11S
101,94,6M 37S
101,97,6M 2S
104,97,5M 37S
104,98,5M 16S
104,99,5M 16S
104,102,3M 53S
104,104,3M 8S
104,107,2M 36S
106,107,2M 10S
106,110,1M 48S
109,110,1M 29S
111,110,53S
111,112,9S
End of 4th quarter,NA,0S
