Denver,LA Clippers,time_rem
43-21,43-22,48M 0S
0,2,47M 48S
0,5,47M 10S
0,6,46M 46S
3,6,46M 22S
3,8,46M 6S
5,8,45M 52S
5,10,45M 29S
5,13,44M 52S
7,13,44M 28S
7,15,44M 11S
7,18,43M 49S
9,18,41M 59S
12,18,41M 0S
15,18,40M 32S
17,18,40M 1S
17,21,39M 47S
18,21,39M 28S
19,21,39M 28S
19,24,39M 6S
21,24,38M 33S
21,25,38M 20S
21,26,38M 20S
23,26,38M 10S
24,26,38M 10S
24,28,37M 13S
27,28,36M 52S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,30,35M 30S
29,30,35M 8S
32,30,34M 37S
32,32,34M 24S
34,32,34M 8S
34,34,33M 37S
36,34,32M 43S
36,36,32M 32S
39,36,32M 7S
41,36,31M 41S
43,36,30M 33S
44,36,30M 33S
44,39,27M 53S
44,41,27M 35S
46,41,27M 19S
46,42,27M 0S
46,44,26M 29S
48,44,26M 10S
49,44,24M 43S
50,44,24M 43S
50,45,24M 35S
50,46,24M 35S
52,46,24M 27S
52,47,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,49,23M 2S
53,49,22M 47S
54,49,22M 47S
54,51,22M 32S
56,51,22M 11S
56,54,21M 58S
56,57,21M 27S
57,57,20M 54S
58,57,20M 54S
61,57,20M 25S
63,57,19M 41S
65,57,18M 29S
65,58,18M 6S
65,59,18M 6S
65,60,18M 6S
65,63,17M 37S
68,63,17M 4S
70,63,16M 45S
70,64,16M 27S
70,65,16M 27S
70,66,15M 57S
73,66,15M 22S
75,66,14M 55S
77,66,14M 17S
77,68,14M 4S
77,69,13M 33S
77,71,13M 33S
79,71,13M 3S
80,71,13M 3S
81,71,12M 32S
82,71,12M 32S
83,71,12M 32S
83,72,12M 17S
83,73,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,73,11M 17S
85,76,10M 53S
87,76,10M 33S
87,78,9M 43S
87,81,9M 14S
90,81,8M 55S
90,83,8M 13S
92,83,7M 53S
92,85,7M 30S
95,85,7M 19S
95,86,6M 30S
95,87,6M 30S
95,89,6M 0S
97,89,4M 55S
99,89,4M 16S
99,91,4M 5S
101,91,3M 32S
101,93,3M 17S
101,96,2M 47S
101,98,2M 6S
102,98,1M 40S
103,98,1M 40S
104,98,1M 40S
107,98,1M 8S
107,101,55S
108,101,49S
108,104,35S
109,104,27S
110,104,27S
End of 4th quarter,NA,0S
