Cleveland,Minnesota,time_rem
9-11,5-14,48M 0S
0,0,47M 47S
0,2,47M 30S
2,2,46M 48S
3,2,46M 48S
5,2,46M 14S
5,3,45M 54S
5,4,45M 54S
7,4,45M 33S
7,7,45M 25S
10,7,45M 14S
11,7,44M 38S
12,7,44M 38S
12,10,44M 30S
12,12,44M 4S
12,13,44M 4S
12,15,43M 39S
12,16,43M 10S
14,16,42M 54S
14,18,42M 18S
16,18,42M 12S
16,19,41M 59S
16,20,41M 59S
18,20,41M 51S
18,23,41M 30S
20,23,41M 17S
22,23,40M 46S
23,23,40M 46S
25,23,40M 24S
27,23,39M 53S
27,25,39M 37S
29,25,39M 13S
30,25,38M 50S
31,25,38M 50S
33,25,38M 10S
33,26,37M 58S
33,27,37M 58S
35,27,37M 9S
35,30,36M 21S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,32,35M 46S
35,34,35M 0S
35,36,34M 32S
37,36,34M 19S
39,36,33M 57S
41,36,33M 23S
41,38,33M 6S
Jump ball: R. Rubio vs. J. Allen (J. Layman gains possession),NA,32M 46S
41,40,32M 43S
43,40,32M 17S
43,42,31M 54S
44,42,31M 40S
45,42,31M 40S
45,44,29M 46S
47,44,29M 22S
49,44,29M 2S
51,44,28M 25S
53,44,27M 15S
55,44,26M 51S
55,47,26M 37S
56,47,26M 11S
57,47,26M 11S
59,47,25M 41S
59,49,24M 52S
59,52,24M 40S
Jump ball: A. Drummond vs. E. Davis (C. Sexton gains possession),NA,24M 30S
61,52,24M 10S
61,55,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,55,23M 31S
63,58,23M 12S
63,60,22M 54S
64,60,22M 34S
65,60,22M 11S
65,63,21M 55S
65,66,21M 12S
Jump ball: A. Drummond vs. E. Davis (L. Nance gains possession),NA,20M 51S
67,66,20M 46S
67,69,20M 23S
69,69,19M 31S
69,71,17M 52S
69,73,17M 28S
72,73,17M 3S
74,73,16M 43S
74,76,16M 24S
74,78,15M 52S
77,78,15M 40S
77,80,15M 14S
79,80,15M 5S
80,80,14M 32S
80,81,14M 9S
81,81,13M 59S
82,81,13M 59S
82,84,13M 41S
82,86,13M 17S
84,86,13M 4S
84,88,12M 13S
86,88,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,90,11M 49S
88,90,11M 32S
88,92,10M 55S
90,92,10M 15S
90,95,6M 56S
90,97,6M 22S
90,99,6M 3S
91,99,5M 38S
92,99,5M 38S
92,102,5M 1S
94,102,4M 41S
94,105,4M 23S
95,105,4M 11S
95,107,2M 52S
97,107,2M 36S
99,107,1M 5S
101,107,39S
104,107,8S
104,108,3S
104,109,3S
End of 4th quarter,NA,0S
