Atlanta,Memphis,time_rem
2-0,0-2,48M 0S
0,0,47M 54S
0,2,46M 21S
0,5,46M 4S
2,5,45M 54S
2,7,45M 10S
4,7,44M 15S
6,7,43M 48S
8,7,43M 9S
8,9,42M 54S
8,12,42M 31S
8,14,41M 49S
8,16,41M 27S
10,16,40M 27S
10,18,40M 11S
12,18,39M 55S
14,18,39M 27S
15,18,39M 27S
15,20,38M 41S
17,20,38M 22S
20,20,37M 53S
23,20,37M 23S
24,20,36M 54S
27,20,36M 48S
27,21,36M 2S
27,22,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,23,35M 49S
27,24,35M 36S
27,25,35M 36S
29,25,35M 20S
31,25,35M 1S
33,25,34M 28S
33,27,34M 16S
36,27,33M 32S
36,28,33M 11S
36,29,33M 11S
36,31,32M 42S
36,32,32M 1S
36,33,32M 1S
38,33,31M 53S
39,33,31M 53S
40,33,31M 22S
41,33,31M 22S
41,35,31M 12S
41,38,30M 51S
41,40,30M 11S
42,40,30M 2S
43,40,30M 2S
43,42,29M 51S
45,42,29M 33S
45,43,29M 6S
45,44,29M 6S
47,44,28M 51S
48,44,28M 51S
48,46,28M 37S
49,46,28M 26S
50,46,28M 26S
50,49,28M 3S
53,49,27M 54S
53,50,27M 13S
53,51,27M 13S
53,54,26M 45S
55,54,25M 34S
55,56,25M 12S
58,56,24M 55S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,59,23M 13S
61,59,22M 15S
61,62,22M 0S
62,62,21M 52S
63,62,21M 52S
66,62,21M 27S
66,65,21M 15S
66,68,20M 55S
68,68,20M 31S
68,70,20M 17S
70,70,19M 51S
72,70,18M 55S
74,70,17M 56S
74,71,17M 34S
74,72,17M 34S
76,72,17M 7S
79,72,16M 35S
79,74,15M 53S
81,74,15M 34S
82,74,15M 34S
82,76,15M 22S
83,76,15M 0S
83,78,14M 50S
83,81,14M 25S
83,83,13M 42S
83,85,13M 16S
84,85,12M 36S
85,85,12M 35S
85,88,12M 13S
86,88,12M 2S
87,88,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,88,11M 43S
92,88,11M 15S
95,88,9M 30S
95,89,9M 16S
95,90,9M 16S
95,93,8M 15S
96,93,7M 56S
97,93,7M 56S
97,94,7M 46S
97,95,7M 46S
99,95,7M 29S
100,95,7M 29S
100,96,7M 8S
100,97,7M 8S
103,97,6M 50S
103,99,6M 33S
103,102,6M 4S
103,104,5M 4S
104,104,4M 48S
105,104,4M 48S
108,104,4M 8S
109,104,3M 36S
110,104,3M 36S
110,106,2M 52S
111,106,2M 40S
112,106,2M 40S
112,107,2M 29S
112,108,2M 29S
113,108,2M 23S
113,109,1M 46S
113,110,1M 46S
115,110,1M 28S
116,110,1M 10S
118,110,56S
118,112,41S
119,112,37S
120,112,37S
121,112,24S
122,112,24S
End of 4th quarter,NA,0S
