New Orleans,Minnesota,time_rem
5-10,4-11,48M 0S
0,0,47M 41S
0,2,47M 34S
2,2,47M 21S
2,4,46M 29S
4,4,46M 18S
4,6,45M 57S
6,6,44M 58S
8,6,44M 35S
8,8,43M 58S
11,8,43M 39S
11,9,43M 23S
11,10,43M 23S
13,10,42M 38S
15,10,42M 2S
17,10,41M 38S
17,12,41M 22S
18,12,41M 9S
20,12,40M 42S
20,14,40M 26S
20,17,39M 59S
22,17,39M 36S
22,19,39M 16S
24,19,39M 5S
26,19,38M 14S
26,22,37M 33S
26,25,36M 50S
29,25,36M 37S
29,28,36M 21S
31,28,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,28,35M 43S
33,30,33M 39S
33,31,33M 16S
33,32,33M 16S
35,32,33M 1S
35,33,32M 39S
35,34,32M 39S
37,34,32M 3S
37,36,31M 51S
38,36,31M 44S
38,39,31M 28S
40,39,31M 9S
41,39,31M 9S
41,41,30M 38S
43,41,30M 24S
44,41,30M 24S
44,44,30M 1S
46,44,29M 46S
47,44,29M 46S
47,45,28M 7S
47,46,28M 7S
49,46,27M 50S
49,47,27M 37S
49,48,27M 37S
49,50,26M 54S
52,50,26M 43S
52,51,26M 25S
54,51,26M 15S
54,54,25M 59S
55,54,25M 45S
56,54,25M 45S
56,56,25M 25S
59,56,25M 16S
59,58,24M 59S
62,58,24M 48S
62,61,24M 35S
62,63,24M 7S
64,63,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,63,23M 47S
66,65,23M 3S
66,66,22M 40S
66,67,22M 40S
66,69,22M 15S
68,69,21M 8S
68,70,20M 50S
68,71,20M 50S
69,71,20M 40S
69,73,20M 26S
69,75,20M 13S
69,76,19M 51S
69,77,19M 51S
69,79,18M 12S
71,79,16M 35S
71,82,16M 15S
72,82,15M 35S
72,85,13M 39S
74,85,13M 13S
76,85,12M 46S
76,87,12M 24S
77,87,12M 4S
78,87,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,89,11M 24S
78,91,10M 34S
78,93,9M 59S
78,95,8M 59S
81,95,8M 49S
81,97,7M 46S
81,98,7M 29S
81,99,7M 29S
82,99,7M 19S
83,99,7M 19S
83,101,6M 49S
84,101,6M 42S
85,101,6M 42S
85,102,6M 27S
85,103,6M 27S
87,103,6M 19S
88,103,5M 26S
90,103,4M 35S
91,103,4M 16S
93,103,3M 19S
Jump ball: E. Bledsoe vs. R. Rubio (Z. Williamson gains possession),NA,2M 55S
93,106,2M 18S
96,106,2M 8S
96,107,1M 56S
98,107,1M 46S
98,110,1M 27S
101,110,1M 19S
101,111,1M 17S
101,112,1M 6S
101,114,1M 3S
102,114,58S
103,114,58S
104,114,58S
104,115,57S
107,115,49S
107,116,33S
110,116,26S
110,117,24S
110,118,24S
110,119,15S
110,120,15S
End of 4th quarter,NA,0S
