Minnesota,Detroit,time_rem
22-47,20-50,48M 0S
0,0,47M 39S
3,0,46M 30S
5,0,45M 48S
5,2,45M 44S
7,2,45M 29S
7,3,45M 16S
7,4,45M 16S
9,4,45M 6S
10,4,45M 6S
10,6,44M 21S
12,6,43M 52S
13,6,43M 30S
14,6,43M 30S
15,6,43M 6S
15,8,42M 49S
17,8,42M 3S
17,10,41M 47S
20,10,41M 25S
20,11,40M 12S
20,12,40M 12S
20,15,39M 34S
23,15,39M 22S
25,15,39M 4S
27,15,38M 9S
27,18,37M 49S
30,18,37M 8S
30,19,36M 28S
30,20,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,20,34M 50S
35,20,34M 19S
35,23,34M 2S
37,23,33M 11S
37,25,32M 45S
37,26,32M 20S
37,27,32M 20S
37,29,31M 47S
Jump ball: I. Stewart vs. N. Reid (S. Lee gains possession),NA,31M 35S
37,30,31M 31S
37,31,31M 31S
40,31,30M 48S
40,33,30M 30S
42,33,30M 20S
42,35,30M 9S
44,35,29M 41S
44,38,29M 35S
47,38,29M 22S
48,38,28M 29S
49,38,28M 29S
51,38,27M 57S
52,38,27M 35S
54,38,26M 44S
56,38,26M 20S
57,38,25M 56S
60,38,25M 24S
62,38,24M 23S
62,39,24M 11S
62,40,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,43,23M 39S
62,45,23M 13S
62,47,23M 7S
62,50,21M 57S
62,52,21M 19S
64,52,21M 11S
66,52,20M 21S
68,52,20M 6S
70,52,19M 12S
73,52,18M 46S
73,55,18M 16S
75,55,18M 1S
76,55,18M 1S
77,55,17M 20S
77,57,16M 32S
79,57,15M 53S
79,58,15M 14S
79,59,15M 14S
81,59,14M 53S
81,61,14M 2S
84,61,13M 19S
84,62,12M 57S
86,62,12M 26S
86,65,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,65,11M 48S
90,65,11M 20S
90,66,11M 12S
90,67,11M 12S
91,67,11M 1S
92,67,11M 1S
92,69,10M 42S
93,69,10M 33S
95,69,10M 9S
95,71,10M 0S
95,74,9M 28S
95,76,9M 1S
97,76,8M 48S
97,78,8M 31S
97,80,8M 9S
97,81,8M 9S
100,81,7M 50S
103,81,7M 19S
103,83,7M 6S
105,83,6M 53S
108,83,6M 19S
108,85,6M 8S
110,85,5M 49S
Jump ball: T. Cook vs. J. McDaniels (D. Sirvydis gains possession),NA,5M 39S
110,87,4M 52S
110,89,3M 15S
112,89,2M 49S
113,89,2M 49S
116,89,2M 19S
116,91,2M 4S
116,93,1M 36S
116,94,1M 18S
116,96,52S
116,97,34S
118,97,19S
119,97,19S
119,100,1S
End of 4th quarter,NA,0S
