Dallas,Minnesota,time_rem
23-19,10-34,48M 0S
0,3,47M 45S
3,3,47M 30S
3,6,47M 13S
Jump ball: L. Dončić vs. J. McDaniels (K. Porziņģis gains possession),NA,46M 36S
3,8,46M 15S
3,11,45M 28S
3,13,45M 7S
3,14,44M 46S
3,16,44M 34S
5,16,43M 44S
6,16,43M 22S
7,16,43M 22S
9,16,42M 57S
10,16,42M 38S
11,16,42M 38S
11,18,42M 25S
13,18,42M 10S
14,18,41M 48S
15,18,41M 48S
16,18,41M 7S
17,18,41M 7S
17,21,40M 57S
17,23,40M 35S
17,25,39M 49S
19,25,39M 31S
21,25,39M 20S
21,28,39M 3S
Jump ball: K. Porziņģis vs. J. Layman (T. Hardaway gains possession),NA,38M 44S
24,28,38M 39S
24,29,38M 20S
24,30,38M 20S
25,30,38M 13S
25,32,37M 28S
28,32,37M 5S
28,33,36M 26S
30,33,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,33,35M 47S
33,36,35M 26S
33,38,34M 45S
36,38,34M 28S
36,39,33M 38S
36,40,33M 22S
36,42,31M 44S
38,42,31M 27S
39,42,31M 27S
39,44,31M 0S
40,44,29M 20S
42,44,28M 59S
42,46,28M 39S
45,46,28M 20S
48,46,27M 51S
49,46,27M 1S
51,46,26M 34S
51,48,26M 19S
51,51,25M 55S
53,51,25M 40S
54,51,25M 18S
54,53,25M 4S
54,54,24M 31S
54,55,24M 31S
56,55,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,57,23M 37S
Jump ball: L. Dončić vs. J. Vanderbilt (J. Richardson gains possession),NA,22M 46S
56,60,21M 22S
56,62,20M 54S
59,62,20M 8S
62,62,19M 23S
63,62,19M 3S
65,62,18M 31S
67,62,17M 58S
67,65,17M 46S
69,65,17M 19S
71,65,16M 34S
73,65,15M 58S
75,65,15M 4S
75,67,14M 53S
77,67,14M 42S
77,69,14M 28S
80,69,14M 15S
80,71,13M 47S
82,71,13M 35S
82,72,12M 57S
82,73,12M 57S
84,73,12M 40S
85,73,12M 40S
88,73,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,74,11M 44S
91,74,11M 30S
91,75,11M 22S
91,76,11M 22S
93,76,10M 27S
93,77,10M 17S
93,78,10M 17S
95,78,10M 6S
95,80,9M 52S
97,80,9M 33S
97,82,9M 23S
99,82,8M 54S
99,84,8M 42S
101,84,7M 44S
103,84,6M 52S
105,84,6M 18S
105,86,5M 50S
108,86,5M 41S
108,88,5M 31S
111,88,5M 17S
111,90,4M 54S
111,91,4M 35S
111,92,4M 35S
111,93,4M 35S
114,93,4M 11S
114,96,3M 53S
117,96,3M 35S
117,98,3M 16S
119,98,2M 51S
119,101,2M 42S
121,101,2M 22S
121,102,2M 16S
121,103,2M 16S
121,105,2M 0S
123,105,1M 53S
125,105,1M 32S
127,105,1M 16S
128,105,57S
128,108,48S
End of 4th quarter,NA,0S
