Portland,Brooklyn,time_rem
35-28,43-21,48M 0S
0,0,47M 46S
0,3,47M 16S
2,3,46M 29S
2,6,46M 8S
2,9,45M 31S
4,9,45M 12S
6,9,44M 39S
6,10,43M 47S
6,11,43M 47S
8,11,43M 30S
8,12,43M 7S
8,13,43M 7S
10,13,42M 36S
10,15,42M 2S
10,17,41M 20S
12,17,41M 5S
13,17,41M 5S
13,19,40M 46S
13,20,40M 46S
15,20,40M 23S
15,21,39M 19S
Jump ball: K. Irving vs. D. Lillard (J. Harris gains possession),NA,38M 40S
18,21,38M 15S
18,23,37M 54S
18,25,37M 37S
20,25,37M 17S
23,25,36M 51S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,25,35M 33S
25,27,35M 12S
28,27,34M 41S
28,29,34M 22S
30,29,34M 14S
31,29,33M 48S
32,29,33M 48S
32,31,33M 32S
32,33,33M 6S
32,35,32M 43S
34,35,32M 30S
36,35,31M 58S
36,37,31M 29S
38,37,31M 17S
41,37,30M 11S
43,37,29M 16S
43,39,28M 54S
45,39,28M 41S
45,42,28M 28S
47,42,28M 11S
48,42,28M 11S
48,44,27M 58S
50,44,27M 46S
50,47,27M 34S
50,49,27M 6S
51,49,26M 50S
51,51,26M 36S
52,51,25M 50S
53,51,25M 50S
53,54,25M 33S
56,54,25M 20S
59,54,24M 34S
59,57,24M 14S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,59,23M 7S
Jump ball: L. Shamet vs. N. Powell (J. Harris gains possession),NA,22M 19S
59,61,21M 59S
60,61,21M 42S
61,61,21M 42S
63,61,21M 7S
63,64,20M 49S
65,64,20M 30S
66,64,20M 4S
67,64,20M 4S
69,64,19M 45S
69,66,19M 37S
72,66,19M 1S
72,67,18M 46S
72,68,18M 46S
73,68,18M 25S
74,68,18M 25S
74,71,18M 13S
76,71,17M 48S
76,73,17M 40S
76,75,17M 11S
78,75,16M 29S
81,75,15M 54S
83,75,14M 46S
85,75,14M 18S
85,76,14M 6S
85,77,14M 6S
88,77,13M 52S
88,79,13M 41S
91,79,13M 23S
94,79,12M 58S
94,81,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,84,11M 31S
96,84,11M 6S
96,86,10M 49S
99,86,10M 26S
99,89,10M 14S
99,91,9M 18S
100,91,9M 6S
101,91,9M 6S
102,91,8M 28S
103,91,8M 28S
103,93,7M 48S
105,93,7M 34S
108,93,7M 13S
108,95,6M 52S
110,95,6M 33S
112,95,5M 47S
112,98,5M 35S
112,99,5M 11S
115,99,4M 50S
115,101,4M 41S
117,101,4M 21S
119,101,4M 3S
120,101,3M 7S
120,102,2M 48S
120,103,2M 48S
122,103,2M 26S
125,103,2M 0S
125,106,1M 51S
128,106,1M 40S
128,107,40S
128,108,40S
128,109,10S
End of 4th quarter,NA,0S
