Cleveland,Charlotte,time_rem
21-38,29-30,48M 0S
0,0,47M 42S
2,0,47M 41S
4,0,46M 26S
4,1,46M 15S
4,2,46M 15S
6,2,45M 17S
6,5,45M 9S
9,5,44M 57S
9,7,44M 12S
12,7,43M 53S
12,9,43M 32S
12,11,41M 47S
12,13,41M 19S
14,13,41M 2S
16,13,40M 19S
16,16,40M 6S
17,16,39M 28S
17,18,37M 52S
17,20,37M 21S
17,22,36M 46S
20,22,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,22,35M 33S
24,22,34M 53S
24,24,34M 28S
26,24,34M 13S
28,24,33M 41S
28,27,33M 27S
28,28,33M 8S
28,29,33M 8S
28,32,32M 46S
31,32,32M 20S
33,32,31M 52S
33,35,31M 37S
35,35,31M 20S
37,35,30M 21S
37,38,30M 5S
40,38,29M 37S
42,38,29M 10S
45,38,27M 33S
48,38,26M 44S
48,40,26M 30S
50,40,26M 15S
50,43,25M 37S
51,43,24M 55S
51,45,24M 45S
53,45,24M 35S
53,48,24M 27S
55,48,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,48,23M 35S
57,51,23M 28S
59,51,23M 0S
59,54,22M 54S
61,54,22M 41S
61,57,22M 29S
64,57,22M 17S
64,58,21M 51S
64,60,21M 2S
66,60,20M 44S
66,62,19M 41S
68,62,19M 17S
68,64,18M 42S
70,64,18M 19S
70,66,18M 0S
70,67,18M 0S
71,67,17M 16S
72,67,17M 16S
72,69,15M 51S
74,69,15M 23S
74,70,15M 10S
74,72,14M 33S
76,72,14M 12S
76,74,13M 58S
78,74,13M 7S
78,76,12M 55S
78,78,12M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,81,11M 18S
80,81,11M 3S
80,83,10M 44S
82,83,9M 40S
84,83,8M 39S
87,83,7M 44S
87,85,6M 29S
87,86,6M 29S
87,88,6M 9S
87,90,5M 28S
87,91,5M 28S
88,91,5M 7S
88,93,4M 51S
90,93,4M 16S
90,94,4M 2S
90,95,4M 2S
91,95,3M 48S
92,95,3M 48S
92,98,3M 30S
95,98,3M 21S
95,100,2M 57S
95,102,2M 9S
95,105,1M 31S
97,105,59S
97,106,59S
98,106,26S
99,106,26S
100,106,26S
100,107,22S
100,108,22S
102,108,17S
End of 4th quarter,NA,0S
