Milwaukee,Miami,time_rem
2-2,1-2,48M 0S
2,0,47M 44S
5,0,47M 24S
6,0,46M 56S
7,0,46M 56S
9,0,46M 42S
10,0,46M 42S
Jump ball: G. Antetokounmpo vs. M. Harkless (J. Holiday gains possession),NA,45M 56S
12,0,45M 43S
12,3,45M 27S
14,3,45M 16S
16,3,44M 47S
19,3,44M 26S
21,3,43M 45S
21,6,43M 30S
24,6,43M 19S
25,6,43M 19S
25,8,43M 1S
27,8,42M 52S
27,10,42M 12S
29,10,41M 56S
29,12,41M 42S
29,14,40M 20S
32,14,40M 12S
32,17,39M 58S
35,17,39M 38S
38,17,39M 26S
40,17,39M 2S
40,18,38M 57S
40,19,38M 57S
43,19,38M 25S
43,22,38M 11S
43,24,37M 47S
46,24,37M 28S
46,26,37M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
49,26,35M 35S
52,26,35M 8S
55,26,34M 26S
55,27,34M 15S
58,27,34M 4S
58,30,33M 49S
58,32,32M 43S
61,32,32M 28S
61,33,31M 58S
61,35,31M 10S
61,37,30M 56S
63,37,30M 40S
65,37,30M 0S
65,39,29M 21S
65,41,29M 9S
67,41,28M 48S
69,41,27M 44S
69,43,27M 20S
72,43,26M 58S
73,43,26M 58S
73,45,25M 58S
76,45,25M 35S
76,48,25M 21S
78,48,25M 9S
78,49,24M 58S
81,49,24M 37S
81,51,24M 24S
83,51,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
83,53,23M 37S
85,53,22M 26S
85,56,22M 13S
88,56,21M 22S
88,58,21M 3S
89,58,20M 56S
90,58,20M 56S
90,59,19M 51S
90,60,19M 51S
93,60,19M 27S
93,62,18M 56S
96,62,18M 36S
96,64,18M 21S
96,66,17M 30S
98,66,16M 58S
101,66,16M 34S
101,69,15M 29S
104,69,15M 15S
104,72,15M 4S
107,72,14M 49S
110,72,14M 17S
110,74,13M 29S
113,74,13M 6S
113,75,12M 48S
114,75,12M 15S
115,75,12M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
115,77,11M 30S
118,77,11M 15S
118,79,10M 51S
120,79,10M 39S
122,79,10M 13S
122,81,9M 16S
125,81,9M 0S
125,83,8M 27S
128,83,7M 54S
128,86,6M 52S
131,86,6M 7S
132,86,5M 21S
133,86,5M 21S
133,89,4M 53S
135,89,4M 39S
137,89,4M 5S
137,91,3M 47S
140,91,3M 30S
141,91,1M 57S
142,91,1M 57S
142,93,1M 45S
144,93,1M 36S
144,94,1M 29S
144,95,1M 29S
144,96,53S
144,97,53S
End of 4th quarter,NA,0S
