Phoenix,Sacramento,time_rem
2-1,2-1,48M 0S
0,0,47M 36S
0,2,47M 32S
0,4,46M 28S
2,4,46M 3S
2,6,45M 47S
4,6,45M 34S
7,6,44M 43S
10,6,44M 22S
10,8,43M 39S
10,9,43M 13S
10,10,43M 13S
12,10,43M 1S
12,13,42M 40S
12,16,42M 2S
12,18,41M 36S
12,20,41M 8S
14,20,40M 50S
14,22,40M 32S
16,22,40M 15S
17,22,40M 15S
20,22,39M 52S
23,22,39M 19S
23,24,38M 37S
23,25,38M 3S
23,26,38M 3S
23,28,37M 31S
26,28,37M 18S
26,31,36M 54S
28,31,36M 33S
28,32,36M 13S
28,33,36M 13S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,35,35M 43S
31,35,35M 21S
31,36,35M 9S
31,37,35M 9S
34,37,34M 46S
34,39,34M 26S
36,39,34M 6S
37,39,34M 6S
39,39,33M 22S
Jump ball: T. Haliburton vs. J. Carter (G. Robinson gains possession),NA,33M 15S
40,39,32M 19S
41,39,32M 19S
41,41,31M 42S
41,43,31M 16S
41,44,30M 16S
43,44,29M 51S
46,44,29M 17S
46,46,28M 56S
46,47,28M 29S
46,48,28M 29S
48,48,27M 50S
48,51,27M 34S
50,51,27M 4S
52,51,26M 45S
54,51,26M 28S
54,53,25M 6S
56,53,24M 52S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,55,23M 48S
56,56,23M 48S
56,59,22M 31S
56,61,21M 25S
58,61,20M 41S
58,64,20M 19S
60,64,19M 54S
60,66,19M 31S
63,66,18M 48S
63,68,18M 39S
65,68,18M 16S
65,69,18M 0S
65,70,18M 0S
68,70,17M 43S
69,70,17M 23S
70,70,17M 23S
70,73,17M 8S
73,73,16M 46S
73,74,16M 0S
75,74,15M 49S
77,74,15M 22S
77,76,15M 5S
80,76,14M 45S
81,76,14M 45S
81,78,14M 20S
83,78,13M 37S
84,78,13M 37S
86,78,13M 16S
88,78,12M 46S
89,78,12M 4S
90,78,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,78,11M 46S
92,79,11M 28S
94,79,11M 14S
94,82,11M 0S
96,82,10M 38S
96,84,10M 21S
98,84,9M 30S
98,86,9M 1S
98,88,8M 28S
100,88,7M 40S
102,88,7M 20S
105,88,6M 29S
107,88,5M 45S
107,91,5M 36S
107,92,4M 14S
107,93,4M 14S
109,93,3M 51S
112,93,3M 25S
114,93,2M 49S
116,93,2M 30S
116,95,1M 37S
116,98,39S
116,100,7S
End of 4th quarter,NA,0S
