Utah,Portland,time_rem
1-0,0-1,48M 0S
0,2,47M 44S
2,2,46M 30S
2,5,46M 13S
4,5,45M 56S
4,8,45M 45S
4,10,45M 12S
6,10,44M 53S
6,13,43M 59S
9,13,43M 46S
11,13,43M 17S
11,16,43M 8S
11,17,42M 39S
14,17,42M 25S
17,17,41M 14S
19,17,40M 32S
19,19,40M 8S
22,19,40M 0S
25,19,39M 32S
25,20,39M 1S
28,20,38M 11S
28,22,37M 47S
30,22,37M 25S
32,22,37M 2S
32,25,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,25,35M 14S
34,27,35M 0S
34,29,34M 27S
37,29,34M 6S
38,29,33M 40S
39,29,33M 40S
42,29,33M 15S
42,31,32M 53S
44,31,32M 27S
47,31,31M 58S
47,32,31M 29S
47,33,31M 29S
49,33,31M 0S
52,33,30M 31S
54,33,29M 13S
54,35,28M 55S
54,37,27M 45S
54,40,26M 46S
57,40,26M 25S
60,40,26M 1S
60,42,25M 42S
61,42,25M 27S
62,42,25M 27S
65,42,25M 9S
65,43,24M 2S
65,44,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,44,23M 6S
67,46,22M 23S
70,46,22M 7S
70,48,21M 48S
72,48,21M 27S
72,50,20M 45S
75,50,20M 5S
75,52,19M 50S
77,52,19M 36S
78,52,19M 36S
80,52,19M 14S
81,52,19M 14S
82,52,19M 1S
83,52,19M 1S
83,55,18M 45S
83,57,17M 11S
83,59,16M 39S
85,59,16M 17S
85,62,16M 1S
87,62,15M 42S
87,64,15M 18S
89,64,14M 57S
89,66,14M 30S
91,66,14M 19S
91,67,14M 4S
91,68,14M 4S
94,68,13M 48S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,70,11M 41S
96,70,11M 27S
99,70,9M 41S
99,72,9M 15S
99,74,8M 49S
99,75,8M 30S
99,76,8M 30S
99,79,8M 6S
101,79,7M 44S
101,81,7M 24S
101,84,7M 2S
103,84,6M 46S
104,84,6M 46S
104,85,6M 39S
104,86,6M 39S
106,86,6M 25S
106,87,6M 16S
106,88,6M 16S
107,88,5M 47S
110,88,5M 36S
110,90,5M 3S
111,90,3M 9S
112,90,3M 9S
112,93,2M 55S
113,93,2M 23S
116,93,1M 47S
116,96,1M 35S
118,96,53S
118,98,39S
119,98,23S
120,98,23S
120,100,4S
End of 4th quarter,NA,0S
