Houston,LA Lakers,time_rem
16-54,40-30,48M 0S
0,2,47M 34S
1,2,47M 20S
2,2,47M 20S
4,2,47M 2S
4,4,46M 53S
7,4,46M 36S
7,7,46M 11S
Jump ball: K. Olynyk vs. T. Horton,Tucker (K. Martin gains possession),45M 54S
9,7,45M 47S
12,7,45M 22S
12,9,45M 7S
14,9,44M 55S
16,9,44M 34S
16,11,43M 57S
16,13,42M 44S
16,16,42M 11S
16,18,41M 46S
16,20,41M 27S
16,21,41M 27S
16,23,40M 48S
17,23,40M 38S
17,26,39M 59S
19,26,38M 10S
21,26,37M 32S
21,29,37M 17S
24,29,37M 4S
24,31,36M 42S
24,32,36M 42S
26,32,36M 26S
26,34,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,34,35M 32S
27,36,35M 2S
29,36,34M 46S
31,36,34M 7S
31,38,33M 28S
31,40,32M 52S
31,42,32M 10S
34,42,31M 53S
34,44,31M 44S
34,46,31M 27S
36,46,31M 11S
38,46,30M 11S
41,46,29M 51S
41,48,29M 33S
44,48,29M 19S
44,50,28M 55S
45,50,28M 3S
46,50,28M 3S
48,50,27M 34S
48,52,27M 17S
48,54,26M 17S
50,54,25M 56S
51,54,25M 56S
51,56,25M 39S
51,57,25M 39S
53,57,25M 27S
53,59,24M 32S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,59,23M 40S
55,61,23M 21S
56,61,23M 10S
57,61,23M 10S
57,63,22M 52S
59,63,22M 37S
59,65,22M 18S
59,67,21M 54S
61,67,21M 11S
61,69,20M 49S
64,69,20M 33S
67,69,20M 13S
68,69,19M 41S
69,69,19M 41S
69,70,19M 27S
69,71,19M 27S
72,71,19M 13S
72,73,18M 57S
75,73,18M 44S
75,75,18M 27S
75,77,17M 54S
75,78,17M 35S
75,79,17M 35S
75,81,17M 22S
75,82,17M 21S
78,82,16M 56S
78,85,16M 41S
80,85,16M 35S
81,85,16M 35S
81,87,16M 25S
83,87,16M 13S
86,87,15M 39S
86,89,15M 23S
88,89,15M 11S
88,90,14M 40S
90,90,14M 25S
90,92,14M 6S
90,93,13M 47S
93,93,13M 18S
93,96,13M 2S
93,98,12M 31S
93,100,12M 18S
94,100,12M 3S
95,100,12M 3S
96,100,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
99,100,11M 31S
99,103,11M 16S
99,104,10M 59S
102,104,10M 47S
102,106,10M 33S
102,108,9M 49S
104,108,9M 34S
104,110,8M 51S
106,110,7M 45S
108,110,7M 0S
108,112,6M 40S
108,114,5M 42S
111,114,5M 29S
111,116,5M 17S
113,116,5M 6S
113,118,4M 46S
113,120,4M 13S
113,121,2M 57S
116,121,2M 34S
119,121,1M 16S
120,121,47S
121,121,22S
122,121,22S
122,123,6S
122,124,0S
End of 4th quarter,NA,0S
