Washington,Brooklyn,time_rem
15-26,29-14,48M 0S
0,2,47M 41S
2,2,47M 30S
4,2,47M 2S
6,2,45M 55S
8,2,45M 43S
9,2,45M 6S
10,2,45M 6S
10,4,44M 53S
12,4,44M 31S
12,6,44M 21S
14,6,44M 12S
17,6,43M 45S
20,6,43M 14S
20,8,42M 59S
20,10,42M 33S
20,12,41M 54S
23,12,41M 36S
23,14,41M 22S
25,14,40M 59S
25,17,40M 28S
25,19,40M 0S
25,21,39M 18S
25,23,38M 22S
27,23,37M 49S
27,25,37M 27S
29,25,37M 8S
30,25,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,26,34M 41S
30,29,34M 26S
30,31,34M 5S
30,34,33M 34S
32,34,32M 19S
33,34,32M 19S
33,36,32M 13S
33,37,31M 42S
33,38,31M 42S
34,38,31M 34S
34,41,31M 14S
36,41,30M 51S
36,43,30M 33S
36,46,30M 14S
37,46,29M 56S
38,46,29M 56S
38,48,29M 30S
38,50,29M 10S
38,52,28M 54S
40,52,28M 38S
42,52,28M 14S
44,52,27M 46S
44,54,27M 14S
46,54,27M 8S
47,54,27M 8S
47,56,26M 57S
49,56,26M 36S
51,56,26M 0S
51,58,25M 47S
53,58,25M 38S
54,58,25M 38S
54,60,25M 22S
54,63,24M 35S
56,63,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,65,23M 30S
58,65,23M 24S
60,65,22M 55S
60,67,22M 40S
62,67,22M 25S
62,69,22M 9S
62,71,21M 9S
65,71,20M 57S
65,73,20M 39S
66,73,20M 32S
67,73,20M 32S
69,73,20M 6S
69,75,19M 49S
69,76,19M 23S
69,77,19M 23S
70,77,19M 9S
70,80,18M 32S
70,82,17M 50S
72,82,17M 31S
72,83,17M 3S
74,83,16M 39S
74,85,16M 21S
77,85,16M 5S
77,86,15M 46S
77,87,15M 46S
77,88,15M 46S
79,88,14M 47S
81,88,14M 16S
83,88,12M 48S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,90,11M 39S
83,92,11M 9S
85,92,10M 34S
Jump ball: T. Johnson vs. R. Lopez (R. Neto gains possession),NA,9M 54S
85,95,9M 30S
88,95,9M 16S
88,96,8M 32S
88,99,8M 17S
90,99,7M 20S
92,99,6M 48S
92,101,6M 2S
93,101,5M 54S
94,101,5M 0S
95,101,5M 0S
98,101,4M 30S
98,103,4M 13S
100,103,3M 58S
102,103,3M 1S
102,105,2M 39S
102,106,2M 39S
102,107,1M 17S
102,108,1M 17S
104,108,1M 11S
106,108,44S
106,110,30S
106,111,30S
106,112,3S
106,113,3S
End of 4th quarter,NA,0S
