Houston,Denver,time_rem
15-46,39-21,48M 0S
0,2,47M 47S
3,2,47M 23S
3,5,47M 1S
5,5,46M 44S
8,5,46M 19S
8,8,45M 58S
8,11,45M 33S
9,11,45M 4S
9,13,44M 44S
9,15,43M 56S
11,15,43M 37S
11,17,43M 25S
11,19,43M 2S
11,21,42M 36S
12,21,42M 23S
13,21,42M 23S
16,21,41M 41S
16,23,41M 22S
16,25,40M 54S
18,25,40M 39S
18,26,40M 22S
18,27,40M 22S
19,27,40M 3S
21,27,39M 48S
24,27,38M 50S
26,27,38M 26S
26,29,38M 5S
26,31,37M 26S
26,33,36M 51S
26,36,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,38,35M 37S
26,39,35M 37S
28,39,35M 23S
29,39,35M 23S
29,41,34M 58S
30,41,34M 51S
31,41,34M 51S
32,41,34M 51S
32,43,34M 31S
34,43,34M 23S
34,45,33M 4S
34,47,32M 40S
34,49,31M 58S
36,49,31M 43S
36,52,31M 28S
37,52,31M 18S
38,52,31M 18S
38,54,30M 57S
40,54,30M 43S
40,57,29M 33S
40,59,28M 34S
41,59,28M 24S
42,59,27M 57S
42,62,27M 20S
42,65,26M 32S
44,65,26M 16S
46,65,25M 2S
46,68,24M 48S
48,68,24M 32S
48,70,24M 17S
49,70,24M 0S
50,70,24M 0S
50,72,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,74,23M 32S
52,74,23M 13S
52,76,22M 48S
52,78,22M 31S
55,78,22M 9S
57,78,21M 26S
57,81,20M 59S
57,82,20M 39S
57,83,20M 39S
59,83,20M 19S
59,85,20M 8S
62,85,19M 58S
64,85,19M 18S
64,87,18M 42S
66,87,18M 20S
66,90,18M 0S
68,90,17M 1S
68,92,16M 28S
71,92,16M 13S
71,94,15M 59S
72,94,15M 46S
73,94,15M 46S
73,95,15M 31S
76,95,15M 19S
76,96,15M 12S
78,96,14M 59S
78,97,14M 29S
80,97,14M 9S
80,99,13M 20S
80,102,13M 7S
81,102,12M 22S
82,102,12M 22S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,102,11M 40S
84,104,11M 25S
86,104,11M 3S
86,105,10M 50S
86,106,10M 50S
89,106,10M 40S
89,109,10M 22S
92,109,10M 1S
94,109,9M 29S
94,112,9M 9S
95,112,8M 31S
95,114,8M 13S
95,117,6M 31S
95,119,5M 57S
97,119,5M 0S
100,119,4M 26S
100,122,4M 14S
100,123,4M 14S
100,124,3M 51S
100,125,3M 51S
103,125,3M 38S
105,125,2M 56S
105,127,2M 23S
105,129,1M 42S
108,129,1M 24S
110,129,1M 15S
113,129,38S
116,129,15S
End of 4th quarter,NA,0S
