LA Clippers,New Orleans,time_rem
25-15,17-22,48M 0S
0,3,47M 39S
0,5,47M 13S
2,5,46M 28S
4,5,45M 59S
4,8,45M 41S
4,10,45M 22S
4,13,44M 36S
6,13,44M 2S
6,15,43M 49S
9,15,43M 41S
9,17,43M 24S
10,17,43M 11S
11,17,43M 11S
11,19,42M 56S
11,22,42M 22S
13,22,42M 0S
15,22,40M 52S
15,24,40M 34S
17,24,40M 20S
17,25,39M 43S
17,26,39M 26S
17,27,39M 26S
19,27,39M 9S
19,29,38M 48S
19,31,38M 37S
19,33,37M 40S
19,34,37M 40S
22,34,37M 21S
22,36,37M 5S
24,36,36M 48S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,36,35M 33S
26,36,35M 33S
28,36,35M 11S
28,38,34M 36S
28,39,34M 36S
30,39,34M 20S
32,39,33M 46S
34,39,33M 18S
34,41,33M 7S
35,41,32M 45S
36,41,32M 45S
36,43,32M 31S
36,45,32M 3S
36,47,31M 45S
36,49,30M 53S
39,49,30M 8S
39,52,29M 46S
42,52,29M 14S
42,55,28M 47S
44,55,27M 47S
46,55,27M 13S
46,57,26M 55S
48,57,26M 38S
48,59,26M 22S
48,60,26M 22S
50,60,26M 10S
52,60,25M 46S
52,61,25M 36S
52,62,25M 36S
52,63,25M 36S
52,64,25M 3S
52,65,25M 3S
54,65,24M 51S
54,67,24M 5S
57,67,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,69,23M 29S
57,71,23M 3S
57,73,22M 35S
57,76,22M 10S
59,76,21M 54S
59,78,21M 34S
61,78,20M 56S
63,78,20M 18S
63,80,20M 3S
63,82,19M 17S
64,82,19M 7S
65,82,19M 7S
65,84,18M 54S
65,86,18M 37S
65,88,18M 11S
68,88,17M 47S
68,90,17M 28S
71,90,17M 9S
71,91,16M 47S
71,92,16M 47S
71,95,16M 28S
71,96,16M 28S
74,96,16M 12S
74,97,15M 56S
74,98,15M 56S
77,98,15M 33S
77,100,15M 21S
78,100,15M 21S
79,100,15M 9S
79,103,15M 3S
80,103,14M 53S
81,103,14M 53S
81,105,14M 6S
81,107,13M 48S
81,108,13M 48S
82,108,13M 12S
83,108,12M 12S
83,110,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,110,11M 35S
85,112,11M 25S
88,112,11M 3S
90,112,10M 14S
90,114,9M 57S
90,116,9M 31S
90,118,9M 12S
90,121,8M 39S
91,121,8M 26S
92,121,8M 26S
92,123,8M 12S
92,125,7M 43S
95,125,7M 20S
97,125,6M 57S
100,125,5M 52S
100,128,4M 35S
102,128,3M 47S
102,130,3M 28S
104,130,2M 52S
104,133,2M 18S
106,133,1M 36S
109,133,1M 17S
112,133,47S
112,135,36S
115,135,20S
End of 4th quarter,NA,0S
