Denver,Golden State,time_rem
38-21,30-30,48M 0S
0,3,47M 49S
3,3,47M 30S
3,5,46M 31S
6,5,46M 5S
6,7,45M 52S
8,7,45M 3S
10,7,44M 20S
10,10,43M 46S
12,10,43M 21S
12,12,42M 42S
15,12,42M 32S
15,13,41M 55S
17,13,41M 42S
17,16,41M 30S
17,19,40M 54S
19,19,40M 21S
19,20,39M 52S
21,20,39M 17S
21,22,38M 26S
21,23,37M 51S
21,24,37M 51S
21,25,37M 51S
23,25,37M 32S
23,27,37M 25S
23,30,36M 48S
24,30,36M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,30,35M 33S
26,32,35M 10S
27,32,35M 1S
28,32,35M 1S
28,34,34M 2S
28,37,33M 41S
28,39,33M 15S
28,41,32M 30S
31,41,32M 0S
33,41,31M 9S
33,43,30M 47S
36,43,30M 20S
38,43,29M 50S
40,43,29M 7S
40,45,28M 51S
40,46,28M 23S
41,46,27M 19S
42,46,27M 19S
42,49,26M 40S
43,49,26M 3S
44,49,26M 3S
44,51,25M 51S
47,51,25M 23S
47,53,25M 4S
47,54,24M 38S
50,54,24M 24S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,54,23M 46S
52,57,22M 39S
54,57,22M 20S
54,58,22M 6S
55,58,21M 56S
56,58,21M 56S
56,61,21M 41S
57,61,21M 22S
58,61,21M 22S
59,61,21M 22S
59,63,20M 39S
62,63,20M 15S
62,65,19M 57S
63,65,19M 45S
63,67,19M 14S
65,67,18M 35S
65,70,18M 17S
65,72,17M 48S
65,74,17M 19S
67,74,16M 51S
67,76,15M 58S
69,76,15M 18S
69,78,15M 1S
71,78,14M 43S
71,80,13M 52S
71,83,13M 3S
72,83,12M 33S
74,83,12M 19S
74,86,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,88,11M 23S
77,88,10M 44S
77,90,10M 9S
77,92,9M 41S
79,92,9M 26S
82,92,8M 46S
85,92,7M 44S
85,95,6M 37S
85,96,6M 2S
85,97,6M 2S
87,97,5M 45S
87,100,5M 28S
87,102,5M 5S
90,102,4M 35S
91,102,4M 0S
92,102,4M 0S
92,105,3M 43S
94,105,3M 25S
94,107,3M 7S
94,108,3M 7S
Jump ball: D. Green vs. A. Gordon (A. Gordon gains possession),NA,2M 51S
94,109,2M 40S
94,110,2M 40S
94,112,2M 8S
94,114,1M 35S
94,116,1M 6S
94,118,40S
97,118,18S
End of 4th quarter,NA,0S
