Phoenix,LA Clippers,time_rem
36-15,35-18,48M 0S
2,0,47M 37S
2,2,47M 15S
4,2,46M 54S
4,4,46M 36S
4,7,46M 7S
6,7,45M 53S
6,9,45M 40S
9,9,45M 26S
11,9,44M 52S
11,11,44M 30S
13,11,43M 46S
13,14,43M 11S
15,14,42M 48S
15,16,41M 57S
16,16,40M 12S
16,18,39M 57S
17,18,39M 47S
17,19,39M 29S
17,20,39M 29S
19,20,39M 16S
20,20,38M 25S
21,20,38M 25S
21,22,38M 4S
23,22,37M 15S
23,24,37M 0S
23,27,36M 23S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,29,35M 44S
26,29,35M 9S
26,31,34M 26S
26,34,34M 3S
29,34,33M 49S
32,34,33M 22S
32,37,32M 20S
34,37,31M 55S
34,39,31M 46S
34,42,31M 28S
36,42,31M 0S
39,42,30M 31S
39,45,29M 32S
41,45,29M 18S
43,45,28M 30S
43,48,28M 13S
45,48,27M 33S
47,48,27M 8S
48,48,27M 8S
50,48,26M 44S
50,49,26M 31S
52,49,26M 17S
52,51,25M 7S
54,51,24M 46S
56,51,24M 14S
56,54,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,56,23M 44S
57,56,23M 22S
58,56,23M 22S
59,56,23M 22S
61,56,22M 57S
63,56,22M 18S
63,59,21M 55S
65,59,21M 27S
65,61,20M 37S
67,61,20M 20S
67,64,20M 5S
69,64,18M 48S
69,67,18M 11S
69,69,17M 43S
69,70,17M 43S
70,70,17M 15S
71,70,17M 15S
73,70,16M 42S
73,72,16M 29S
73,74,15M 56S
75,74,14M 59S
76,74,14M 59S
77,74,14M 34S
77,76,14M 18S
77,79,13M 28S
77,80,13M 5S
77,81,13M 5S
79,81,12M 43S
79,82,12M 32S
79,83,12M 32S
80,83,12M 15S
81,83,12M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,84,10M 50S
81,85,10M 50S
81,87,10M 20S
83,87,9M 54S
83,90,9M 14S
83,93,8M 46S
84,93,7M 20S
85,93,7M 20S
86,93,7M 1S
87,93,7M 1S
89,93,6M 47S
89,95,6M 21S
89,97,5M 47S
89,100,5M 15S
89,103,4M 46S
92,103,3M 56S
92,105,3M 30S
93,105,3M 9S
94,105,3M 9S
94,107,2M 46S
95,107,2M 34S
96,107,2M 34S
96,110,2M 11S
96,112,1M 24S
97,112,1M 24S
97,113,1M 24S
98,113,1M 17S
99,113,1M 17S
101,113,42S
103,113,18S
End of 4th quarter,NA,0S
