New Orleans,Phoenix,time_rem
2-2,3-1,48M 0S
2,0,47M 39S
4,0,47M 3S
4,2,46M 46S
4,5,46M 22S
6,5,46M 4S
6,8,45M 50S
6,11,45M 17S
8,11,45M 2S
10,11,44M 29S
13,11,44M 4S
13,14,43M 57S
14,14,43M 37S
16,14,43M 20S
18,14,42M 56S
18,16,41M 45S
18,18,41M 3S
20,18,40M 56S
20,21,40M 39S
22,21,39M 37S
22,23,39M 7S
24,23,38M 52S
26,23,38M 31S
26,24,38M 12S
26,25,38M 12S
27,25,37M 42S
29,25,37M 21S
29,28,37M 9S
29,31,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,34,35M 13S
29,36,34M 39S
31,36,34M 4S
31,38,33M 45S
31,39,33M 45S
32,39,33M 29S
34,39,32M 51S
34,40,32M 15S
34,41,32M 15S
34,42,31M 42S
34,43,31M 42S
36,43,31M 16S
36,44,30M 58S
36,45,30M 58S
36,47,30M 17S
38,47,29M 43S
38,48,29M 31S
38,49,29M 31S
38,51,28M 50S
38,54,28M 4S
38,56,27M 47S
40,56,27M 30S
40,58,27M 16S
40,60,26M 34S
40,61,26M 8S
40,62,26M 8S
42,62,25M 8S
42,63,25M 2S
42,64,25M 2S
44,64,24M 48S
44,65,24M 38S
44,66,24M 38S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,68,23M 14S
46,68,22M 58S
46,71,22M 40S
47,71,22M 3S
47,73,21M 49S
47,76,20M 38S
47,79,19M 46S
47,81,18M 42S
49,81,17M 41S
49,83,17M 12S
51,83,17M 12S
52,83,17M 12S
52,86,16M 51S
55,86,16M 41S
57,86,16M 0S
59,86,15M 1S
59,89,14M 42S
59,92,14M 7S
59,95,13M 7S
61,95,12M 44S
61,98,12M 25S
61,100,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
63,100,11M 17S
65,100,10M 39S
65,103,9M 51S
67,103,9M 38S
68,103,9M 38S
68,105,9M 1S
68,108,6M 19S
69,108,6M 6S
70,108,6M 6S
72,108,5M 46S
74,108,5M 10S
76,108,4M 47S
78,108,4M 13S
78,109,3M 54S
81,109,3M 35S
82,109,2M 44S
84,109,1M 36S
84,111,1M 14S
86,111,55S
End of 4th quarter,NA,0S
