Milwaukee,Charlotte,time_rem
38-23,30-31,48M 0S
0,0,47M 45S
0,3,47M 31S
3,3,46M 52S
3,5,46M 32S
3,7,45M 38S
5,7,45M 26S
5,10,45M 9S
6,10,44M 54S
7,10,44M 54S
7,12,44M 25S
9,12,44M 13S
11,12,43M 51S
11,14,43M 40S
11,15,43M 10S
13,15,42M 52S
15,15,42M 23S
15,17,42M 14S
18,17,42M 2S
20,17,41M 33S
20,19,40M 49S
23,19,40M 39S
23,21,39M 28S
25,21,39M 12S
25,23,38M 49S
27,23,38M 40S
29,23,38M 15S
31,23,37M 54S
31,25,37M 36S
32,25,36M 30S
33,25,36M 30S
33,28,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,28,35M 25S
35,30,35M 2S
37,30,34M 42S
37,32,34M 9S
39,32,33M 46S
41,32,33M 21S
43,32,32M 56S
43,35,32M 46S
43,37,31M 15S
45,37,31M 0S
48,37,30M 34S
48,39,29M 52S
50,39,29M 8S
50,41,29M 0S
52,41,28M 50S
52,42,28M 12S
54,42,27M 57S
56,42,27M 13S
58,42,26M 51S
58,43,26M 27S
61,43,26M 3S
61,44,25M 52S
61,45,25M 52S
62,45,24M 42S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,45,23M 19S
64,45,23M 19S
64,47,22M 38S
64,49,21M 42S
66,49,21M 25S
68,49,21M 15S
68,52,20M 54S
68,54,20M 10S
70,54,19M 50S
70,57,19M 34S
72,57,19M 12S
72,60,18M 45S
74,60,18M 33S
74,63,18M 14S
74,65,17M 15S
74,67,16M 52S
74,68,16M 32S
74,69,16M 32S
77,69,16M 18S
77,71,15M 43S
79,71,15M 34S
81,71,15M 7S
81,72,14M 30S
81,73,14M 30S
83,73,14M 14S
83,76,13M 27S
85,76,12M 33S
85,77,12M 31S
87,77,12M 13S
87,80,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,80,11M 45S
90,80,11M 45S
92,80,11M 24S
92,83,11M 11S
95,83,10M 55S
95,85,10M 18S
98,85,10M 6S
98,87,9M 49S
98,88,9M 49S
100,88,9M 15S
100,90,9M 0S
100,91,8M 13S
100,93,7M 45S
101,93,7M 28S
101,95,7M 5S
103,95,6M 15S
103,97,5M 32S
103,98,4M 8S
103,99,4M 8S
105,99,2M 57S
105,100,2M 6S
105,101,2M 6S
107,101,1M 51S
110,101,1M 25S
110,104,1M 15S
112,104,1M 4S
113,104,45S
114,104,45S
End of 4th quarter,NA,0S
