Oklahoma City,Charlotte,time_rem
1-0,0-2,48M 0S
0,0,47M 37S
2,0,47M 4S
2,2,46M 52S
2,4,46M 24S
4,4,46M 5S
4,6,45M 49S
6,6,44M 50S
6,8,43M 43S
8,8,43M 21S
8,11,43M 10S
10,11,42M 19S
10,12,42M 5S
10,14,41M 37S
12,14,41M 23S
12,17,41M 13S
14,17,40M 58S
17,17,40M 31S
20,17,39M 56S
20,18,39M 32S
20,19,39M 32S
22,19,39M 16S
23,19,38M 49S
24,19,38M 49S
24,22,38M 17S
24,24,37M 33S
24,25,37M 12S
26,25,36M 17S
26,26,36M 0S
26,27,36M 0S
26,28,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,28,35M 24S
28,30,35M 12S
28,32,34M 53S
28,33,34M 32S
28,35,34M 7S
30,35,33M 38S
31,35,33M 38S
31,38,33M 3S
31,41,32M 29S
31,42,32M 9S
32,42,31M 49S
33,42,31M 49S
33,43,31M 35S
33,44,31M 35S
34,44,30M 53S
35,44,30M 53S
36,44,30M 43S
37,44,30M 43S
37,46,30M 27S
39,46,30M 19S
41,46,29M 44S
43,46,29M 19S
43,48,29M 4S
43,50,28M 28S
43,52,28M 11S
45,52,27M 41S
45,54,27M 19S
47,54,27M 6S
49,54,26M 37S
51,54,26M 10S
53,54,25M 38S
55,54,25M 10S
55,56,24M 54S
55,57,24M 54S
56,57,24M 30S
57,57,24M 30S
57,59,24M 10S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,61,23M 42S
57,63,22M 23S
59,63,22M 8S
62,63,21M 53S
63,63,20M 14S
66,63,19M 50S
68,63,19M 31S
68,64,19M 20S
68,65,19M 20S
70,65,19M 3S
71,65,19M 3S
73,65,18M 15S
73,67,17M 32S
Jump ball: M. Bridges vs. H. Diallo (L. Ball gains possession),NA,17M 1S
75,67,16M 42S
76,67,16M 31S
76,70,15M 14S
76,72,13M 55S
76,73,13M 55S
78,73,13M 38S
78,75,12M 53S
80,75,12M 22S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,75,11M 15S
83,77,9M 47S
85,77,8M 59S
85,78,8M 9S
85,80,7M 36S
87,80,7M 20S
90,80,6M 39S
90,83,5M 55S
93,83,5M 39S
93,86,4M 31S
96,86,4M 7S
99,86,3M 31S
99,89,3M 22S
102,89,2M 13S
102,90,1M 50S
102,91,1M 50S
102,93,1M 6S
102,94,53S
102,95,53S
103,95,39S
103,98,33S
104,98,31S
104,101,24S
105,101,22S
105,104,17S
106,104,15S
107,104,15S
107,107,10S
109,107,1S
End of 4th quarter,NA,0S
