Dallas,Memphis,time_rem
30-24,27-26,48M 0S
0,0,47M 43S
2,0,47M 24S
2,3,46M 57S
3,3,45M 57S
3,5,45M 43S
6,5,44M 59S
6,6,44M 20S
6,7,44M 20S
7,7,44M 5S
8,7,44M 5S
8,9,43M 53S
Jump ball: L. Dončić vs. D. Brooks (D. Finney,Smith gains possession),43M 38S
10,9,43M 34S
10,11,43M 15S
13,11,43M 4S
15,11,42M 45S
15,13,42M 20S
17,13,41M 56S
19,13,41M 33S
19,14,41M 19S
19,17,40M 59S
21,17,40M 47S
21,20,40M 29S
23,20,39M 49S
23,23,39M 30S
25,23,39M 4S
25,24,38M 53S
25,25,38M 53S
27,25,38M 9S
27,28,37M 46S
27,30,37M 9S
30,30,36M 49S
30,32,36M 34S
32,32,36M 11S
32,34,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,34,34M 50S
34,36,34M 34S
34,38,34M 8S
36,38,33M 50S
36,41,33M 37S
36,42,31M 51S
36,43,31M 51S
36,45,31M 31S
38,45,30M 32S
39,45,30M 32S
42,45,29M 59S
42,48,29M 45S
42,49,29M 20S
44,49,28M 56S
44,51,28M 42S
46,51,28M 27S
49,51,28M 2S
51,51,27M 25S
51,54,26M 4S
51,56,25M 43S
54,56,25M 26S
54,58,25M 3S
56,58,24M 51S
56,60,24M 33S
57,60,24M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,60,23M 0S
59,62,22M 46S
59,64,22M 22S
62,64,21M 36S
62,66,21M 10S
65,66,20M 26S
67,66,19M 51S
67,69,19M 36S
67,71,19M 2S
69,71,18M 50S
70,71,18M 50S
70,73,18M 23S
70,75,18M 1S
71,75,17M 5S
72,75,17M 5S
73,75,16M 34S
74,75,16M 34S
74,77,16M 19S
76,77,15M 55S
76,79,15M 40S
78,79,14M 45S
78,82,14M 10S
81,82,13M 59S
81,84,13M 36S
81,86,13M 8S
82,86,12M 41S
83,86,12M 41S
83,89,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,89,11M 40S
85,91,10M 48S
87,91,10M 32S
89,91,9M 34S
92,91,8M 8S
92,93,7M 49S
94,93,7M 31S
94,95,7M 17S
94,96,7M 5S
94,97,7M 5S
94,100,6M 38S
96,100,6M 18S
96,102,6M 1S
98,102,5M 14S
98,103,4M 37S
98,104,4M 37S
101,104,4M 29S
104,104,3M 26S
104,105,3M 11S
104,106,3M 11S
106,106,3M 0S
106,108,2M 43S
106,111,2M 7S
108,111,1M 2S
110,111,25S
110,112,24S
110,113,24S
111,113,3S
114,113,0S
End of 4th quarter,NA,0S
